row_i,col_j,ri,th,rf,v,a,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
0,0,0.01,0.13212670403551896,0.14212670403551897,0.0003141592653589793,0.06314601233715486,30.353179880603445,1.789162106952223e-06,27.74456564939628,463.53298055914246,185.413192223657,185.403186405611,2.5001349197152427,True
0,1,0.026779661016949154,0.11750183552430077,0.14428149654124992,0.0022529939386445163,0.06314601233715486,28.131596183055546,0.000938953841515942,71.76444228551613,484.2190787598969,193.68763150395876,193.68126860055705,2.500082131114791,True
0,2,0.043559322033898305,0.10475593185474547,0.14831525388864378,0.0059609035672781455,0.06314601233715486,26.084019994133133,0.017777543554061085,112.56715148781095,505.1776854852516,202.07107419410065,202.07820852139835,2.499911738042539,True
0,3,0.06033898305084746,0.09374149227166206,0.1540804753225095,0.01143788815125987,0.06314601233715486,24.21186957604243,0.11585980353231437,150.13533434627308,526.1749147612147,210.4699659044859,210.46229036099896,2.500091174807061,True
0,4,0.0771186440677966,0.08427306966886185,0.16139171373665845,0.01868394769058968,0.06314601233715486,22.51583487538189,0.44481664395496623,184.58942707179997,546.9332316040513,218.77329264162054,218.7817059813524,2.4999038614803952,True
0,5,0.09389830508474575,0.07615136912190482,0.17004967420665057,0.02769908218526759,0.06314601233715486,20.981215737368956,1.246064510937309,215.97400221192376,567.338063711711,226.93522548468442,226.92542025330755,2.5001080226200076,True
0,6,0.1106779661016949,0.06918201327228347,0.17985997937397838,0.03848329163529359,0.06314601233715486,19.59807990561507,2.838538589217468,244.48665671912912,587.2237704386235,234.88950817544944,234.88345518587158,2.5000644254570106,True
0,7,0.12745762711864406,0.06318719109238238,0.19064481821102644,0.051036576040667685,0.06314601233715486,18.350336072515233,5.591322275305669,270.26198633524507,606.5299527729929,242.6119811091972,242.61973834037076,2.499920068012328,True
0,8,0.14423728813559322,0.05801106238601214,0.20224835052160536,0.06535893540138989,0.06314601233715486,17.22079141612975,9.89074467910577,293.3817418170874,625.2554507038903,250.10218028155614,250.091613286852,2.500105631238142,True
0,9,0.1610169491525424,0.05352082820704626,0.21453777735958865,0.08145036971746017,0.06314601233715486,16.197969132022063,16.124483096533236,314.07259487133996,643.3462858818326,257.33851435273306,257.33148357248245,2.5000683047032664,True
0,10,0.17779661016949153,0.049605312838565174,0.2274019230080567,0.09931087898887854,0.06314601233715486,15.268506368509252,24.651440614643686,332.46699121714636,660.8161674512882,264.32646698051525,264.3369975945199,2.4999004054095675,True
0,11,0.19457627118644066,0.04617240546375259,0.24074867665019326,0.11894046321564498,0.06314601233715486,14.419688785479357,35.775768164704694,348.6416678585565,677.7089985448207,271.08359941792827,271.09089535212956,2.4999327169011725,True
0,12,0.21135593220338983,0.04314618974761458,0.2545021219510044,0.14033912239775956,0.06314601233715486,13.642611910275674,49.75682054053592,362.7665067848864,694.0300990242491,277.61203960969965,277.6171274174038,2.499954183232934,True
0,13,0.228135593220339,0.04046419995529987,0.26859979317563887,0.16350685653522223,0.06314601233715486,12.92838328131047,66.77749236412419,374.9476779307167,709.8135622436057,283.92542489744227,283.9167706933773,2.500076203706141,True
0,14,0.24491525423728813,0.03807499605080131,0.28299025028808944,0.18844366562803297,0.06314601233715486,12.270629014973112,86.97727213292964,385.3627751660471,725.0644130285156,290.0257652114062,290.0194886334364,2.5000541047948137,True
0,15,0.26169491525423727,0.03593611247963735,0.2976310277338746,0.2151495496761918,0.06314601233715486,11.662535298236586,110.40108871639511,394.10348307626623,739.8196747757119,295.92786991028476,295.92329102252495,2.5000386830633032,True
0,16,0.27847457627118644,0.03401236686310971,0.31248694313429615,0.24362450867969873,0.06314601233715486,11.099082508211108,137.05185150894033,401.31278623801734,754.0939206692477,301.6375682676991,301.6463902701161,2.499926884568309,True
0,17,0.2952542372881356,0.03227448608830158,0.3275287233764372,0.2738685426385538,0.06314601233715486,10.574928256667244,166.8208083262801,407.05379029727806,767.9274632945989,307.17098531783955,307.1776676232577,2.499945615305713,True
0,18,0.31203389830508477,0.030697999380946195,0.34273189768603096,0.30588165155275693,0.06314601233715486,10.086550761450097,199.59460674496444,411.4690758378454,781.3286591726018,312.5314636690407,312.5365506595876,2.4999593088349497,True
0,19,0.3288135593220339,0.02926234994026866,0.35807590926230254,0.33966383542230805,0.06314601233715486,9.630165439043617,235.16139244011399,414.6370968671991,794.3252584756842,317.7301033902737,317.71903632663907,2.500087082157262,True
0,20,0.34559322033898304,0.027950182687049352,0.3735434030260324,0.3752150942472074,0.06314601233715486,9.20352937325911,273.370689030461,416.7249556368251,806.9119402079173,322.7647760831669,322.756045472995,2.5000676254581,True
0,21,0.3623728813559322,0.026746772660927398,0.3891196540168596,0.4125354280274548,0.06314601233715486,8.803574923115022,313.93550031133805,417.7943595914404,819.1161594166379,327.6464637666552,327.6395484290388,2.5000527663529133,True
0,22,0.3791525423728813,0.025639565242644657,0.404792107615526,0.45162483676305026,0.06314601233715486,8.428005490535943,356.5813554184851,417.9391698083784,830.9514283536466,332.3805713414587,332.37507338562705,2.5000413535510924,True
0,23,0.3959322033898305,0.024617805147948646,0.42055000853777913,0.49248332045399384,0.06314601233715486,8.07479301870246,401.01813827070777,417.24816459175963,842.4301967796454,336.97207871185816,336.96769266609516,2.500032540551056,True
0,24,0.41271186440677965,0.023672235924705964,0.4363841003314856,0.5351108791002855,0.06314601233715486,7.742138294444548,446.94728179301177,415.8049575934253,853.5640052566063,341.42560210264253,341.42209216896055,2.5000257008389504,True
0,25,0.4294915254237288,0.022794855546118098,0.4522863809698469,0.5795075127019254,0.06314601233715486,7.428639689678541,494.1218730449038,413.7104428986084,864.3565818473937,345.7426327389575,345.75202285748213,2.499932103661701,True
0,26,0.446271186440678,0.02197871675970753,0.4682499032003855,0.6256732212589133,0.06314601233715486,7.132415006294514,542.1319204000961,410.9886852167933,874.8335080691031,349.9334032276413,349.9411597949562,2.499944586631939,True
0,27,0.4630508474576271,0.02121776326500341,0.4842686107226305,0.6736080047712492,0.06314601233715486,6.852429876375457,590.7483688334399,407.735404745304,884.9956638657635,353.99826554630545,354.0046873369765,2.499954648971463,True
0,28,0.47983050847457626,0.020506694682424997,0.5003372031570013,0.7233118632389332,0.06314601233715486,6.587518473743443,639.6945907644606,404.01363743246316,894.8522307999718,357.94089231998873,357.9462199295585,2.4999627904328,True
0,29,0.4966101694915254,0.01984085475220826,0.5164510242437337,0.7747847966619654,0.06314601233715486,6.336625572684855,688.7090921855321,399.8816381797304,904.4119947581478,361.76479790325914,361.7692259253945,2.4999694002293587,True
0,30,0.5133898305084745,0.019216138355487966,0.5326059688639625,0.8280268050403455,0.06314601233715486,6.098791671537877,737.5472496017547,395.3929142447786,913.6834520737721,365.47338082950887,365.47698444543585,2.49997534991203,True
0,31,0.5301694915254237,0.01862891385156562,0.5487984053769893,0.8830378883740738,0.06314601233715486,5.873143912950044,785.9839871092094,390.5967489370748,922.6747608460239,369.0699043384096,369.0727494548053,2.499980727943204,True
0,32,0.5469491525423729,0.018075957932214726,0.5650251104745876,0.9398180466631503,0.06314601233715486,5.658749178617525,833.734382717052,385.5197761017628,931.3994072132808,372.55976288531235,372.5507658454674,2.5000603745896517,True
0,33,0.563728813559322,0.017554400749332233,0.5812832143086543,0.9983672799075749,0.06314601233715486,5.455180075820097,880.7868638834666,380.2441554198947,939.8527022348961,375.9410808939585,375.93378274589463,2.5000485334678526,True
0,34,0.5805084745762712,0.01706167951015014,0.5975701540864213,1.0586855881073476,0.06314601233715486,5.2615903113374065,926.8827225124728,374.78394902329654,948.0492267906068,379.2196907162427,379.213767109336,2.5000390518977715,True
0,35,0.5972881355932204,0.01659549908066893,0.6138836346738893,1.1207729712624683,0.06314601233715486,5.077363025950668,971.8778718563808,369.17318043126966,955.996290870505,382.39851634820207,382.3937052595743,2.5000314537645467,True
0,36,0.6140677966101695,0.01615379841309572,0.6302215950232652,1.1846294293729371,0.06314601233715486,4.901928883301714,1015.647685825008,363.44258797309607,963.7010564303353,385.4804225721341,385.47651230700967,2.5000253599441185,True
