row_i,col_j,ri,th,rf,v,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
0,0,0.01,0.01,0.02,0.0003141592653589793,5.810489272190016,2.402612453064414e-09,13.433387657553565,4626.029372102018,462.6029372102017,462.59975269088716,10.000068839624236,True
0,1,0.026779661016949154,0.01,0.036779661016949156,0.0022529939386445163,5.80324088218456,1.700392322139775e-06,35.88445965774581,4627.498383635831,462.74983836358297,462.7466858892011,10.000068125271948,True
0,2,0.043559322033898305,0.01,0.05355932203389831,0.0059609035672781455,5.790863259085114,4.3186389109251184e-05,58.12030329197226,4630.009288541688,463.0009288541687,462.9978305615367,10.000066918080984,True
0,3,0.06033898305084746,0.01,0.07033898305084746,0.01143788815125987,5.773466500240675,0.0003745985443399226,80.02605847195693,4633.543420683566,463.3543420683565,463.351318787577,10.000065248131538,True
0,4,0.0771186440677966,0.01,0.0871186440677966,0.01868394769058968,5.751346606802767,0.0018936816648170102,101.4982625159507,4638.045601917186,463.8045601917185,463.816153861493,9.99975003738706,True
0,5,0.09389830508474575,0.01,0.10389830508474575,0.02769908218526759,5.724400869084361,0.0069045930295292424,122.42721533337742,4643.5429872999775,464.35429872999765,464.3654897785605,9.999759003439982,True
0,6,0.1106779661016949,0.01,0.1206779661016949,0.03848329163529359,5.693002571721839,0.02021185744687231,142.726320553607,4649.966818427993,464.99668184279915,465.0074158749165,9.999769164281025,True
0,7,0.12745762711864406,0.01,0.13745762711864407,0.051036576040667685,5.657405008982437,0.05051350659929477,162.31569309032943,4657.273390619834,465.7273390619833,465.7375704859771,9.999780317830425,True
0,8,0.14423728813559322,0.01,0.15423728813559323,0.06535893540138989,5.6178846829373885,0.11202316700261732,181.1270564549889,4665.414669498292,466.5414669498291,466.55115933672874,9.999792254574754,True
0,9,0.1610169491525424,0.01,0.1710169491525424,0.08145036971746017,5.574735662955748,0.2262250278868836,199.10414094372607,4674.339172337871,467.433917233787,467.4430433711517,9.999804764719595,True
0,10,0.17779661016949153,0.01,0.18779661016949153,0.09931087898887854,5.528264008084102,0.42365387803843285,216.2027267474218,4683.992851654554,468.3992851654553,468.4078268346131,9.99981764461078,True
0,11,0.19457627118644066,0.01,0.20457627118644067,0.11894046321564498,5.478782430467409,0.7455926806460544,232.3903689776739,4694.319954415098,469.43199544150974,469.43994295793937,9.999830702168643,True
0,12,0.21135593220338983,0.01,0.22135593220338984,0.14033912239775956,5.42660534519483,1.245591036449082,247.64585235258966,4705.263834375462,470.52638343754603,470.5337350009936,9.999843761182236,True
