row_i,col_j,solenoid_length_m,ri,rf,th,a,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
0,0,2.0,0.1,0.12650691680694737,0.02650691680694736,0.018862122292152797,0.06283185307179587,0.06283185307179587,18.171130253393585,78900653.81515922,609.4182532803708,609.4182532803708,549.0253948605102,495.63824240074064,56643.00384622769,1015.697088800618,1.6666666666666667,True,0.9009008048334974,56.64300384622769,113.28600769245539
0,1,2.0,0.12372881355932204,0.14598910680183427,0.022260293242512233,0.018862122292152797,0.09618814852617069,0.09618814852617069,16.785141120608934,26208131.375083152,632.8225588320606,632.8225588320606,605.4891245480593,623.0890246549752,60158.042484412035,1054.704264720101,1.6666666666666667,True,0.9568071114050548,60.158042484412036,120.31608496882407
0,2,2.0,0.14745762711864407,0.16657656436444165,0.01911893724579758,0.018862122292152797,0.1366200218042008,0.1366200218042008,15.518473124081797,11136895.410805838,656.0160502762781,656.0160502762781,653.8378591338645,739.0292206554028,62664.97927415261,1093.3600837937968,1.6666666666666667,True,0.996679667911332,62.664979274152614,125.32995854830523
0,3,2.0,0.1711864406779661,0.18790635293142885,0.016719912253462754,0.018862122292152797,0.1841274729058861,0.1841274729058861,13.568532443779352,7047165.063809707,695.6312768727897,695.6312768727897,656.1198135405976,750.0000000000003,59302.54802488039,1159.3854614546497,1.6666666666666667,True,0.9432005652336165,59.30254802488039,118.60509604976077
0,4,2.0,0.19491525423728812,0.20975213070285262,0.014836876465564502,0.018862122292152797,0.2387105018312267,0.2387105018312267,11.978402094813456,4883231.271491603,732.0737986699628,732.0737986699628,655.484674398107,750.0000000000001,56295.9276855774,1220.1229977832713,1.6666666666666667,True,0.895380596312826,56.295927685577404,112.59185537115481
0,5,2.0,0.21864406779661016,0.23196816243322824,0.013324094636618072,0.018862122292152797,0.3003691085802226,0.3003691085802226,10.71767458234823,3542322.606335004,764.1051253866755,764.1051253866755,656.1572956839849,750.0000000000001,53991.345531224935,1273.508542311126,1.6666666666666667,True,0.8587264682355539,53.99134553122494,107.98269106244987
0,6,2.0,0.24237288135593218,0.2544574888203856,0.012084607464453417,0.018862122292152797,0.3691032931528737,0.3691032931528737,9.694486778422597,2662454.768488631,792.4648834577446,792.4648834577446,657.790263477712,750.0000000000001,52188.72849047656,1320.7748057629076,1.6666666666666665,True,0.8300560406002979,52.188728490476564,104.37745698095313
0,7,2.0,0.26610169491525426,0.2771535892547144,0.011051894339460133,0.018862122292152797,0.44491305554918026,0.44491305554918026,8.8479997822549,2058623.928092112,817.740599746246,817.740599746246,660.1735543706476,749.9999999999999,50758.86053372108,1362.9009995770766,1.6666666666666667,True,0.8073141465343739,50.758860533721084,101.51772106744217
0,8,2.0,0.28983050847457625,0.3000095392527233,0.010179030778147025,0.018862122292152797,0.5277983957691418,0.5277983957691418,8.136389411069723,1628998.9557248284,840.4034268144629,840.4034268144629,663.1733819686399,750.0000000000001,49614.49478697665,1400.672378024105,1.6666666666666667,True,0.7891131340127788,49.61449478697665,99.2289895739533
0,9,2.0,0.31355932203389825,0.3229914061308099,0.009432084096911653,0.018862122292152797,0.6177593138127585,0.6177593138127585,7.5299923555620225,1314111.1947084623,860.8347720301399,860.8347720301399,666.7004200173008,749.9999999999998,48694.53567316193,1434.7246200502332,1.6666666666666667,True,0.7744812845384897,48.69453567316193,97.38907134632386
