row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
0,0,1.0,0.01,0.012,0.002,0.0003141592653589793,0.0003141592653589793,2.964706358712883,5.209326931420515e+18,2117.683639074054,2117.683639074054,1179.905397901635,17.486122411806697,128.36227494803202,3529.47273179009,True,0.5571679244863706,0.128362274948032,0.513449099792128
0,1,1.0,0.755,0.757,0.002,1.7907863523625218,1.7907863523625218,2.2345603251568837,4878582.741499698,2200.614922999584,2200.614922999584,1611.7416291930624,749.9999999999999,11596.629409598985,3667.69153833264,True,0.7324051165644881,11.596629409598986,46.386517638395944
0,2,1.0,1.5,1.502,0.002,7.0685834705770345,7.0685834705770345,1.5853309190424054,198131.52111800222,2280.585097019463,2280.585097019463,1995.9080427392846,750.0000000000002,27512.72150528486,3800.975161699105,True,0.8751736759780515,27.51272150528486,110.05088602113943
1,0,1.0,0.01,0.1115,0.1015,0.0003141592653589793,0.0003141592653589793,41.43676230009266,136510198217389.12,767.3841122651153,767.3841122651153,327.7876175530175,67.30785123687377,27581.67792065037,1278.973520441859,True,0.427149340615712,27.58167792065037,110.32671168260148
1,1,1.0,0.755,0.8565,0.1015,1.7907863523625218,1.7907863523625218,15.918791952385574,1894.1814619135444,1296.9723747490305,1296.9723747490305,236.56947871434247,750.0,156215.08213912,2161.6206245817175,True,0.18240132428427372,156.21508213912,624.86032855648
1,2,1.0,1.5,1.6015,0.1015,7.0685834705770345,7.0685834705770345,11.29374436295357,76.92747550020741,1498.1890083386656,1498.1890083386656,288.46252674152316,750.0000000000001,317365.1587121515,2496.9816805644427,True,0.19254081102984316,317.3651587121515,1269.460634848606
2,0,1.0,0.01,0.41000000000000003,0.4,0.0003141592653589793,0.0003141592653589793,87.5444616397039,6851625990743.752,460.79391296205534,460.79391296205534,191.3337727190026,76.23554364841976,365252.1706509565,767.9898549367589,True,0.4152263459581729,365.2521706509565,1461.008682603826
2,1,1.0,0.755,1.155,0.4,1.7907863523625218,1.7907863523625218,31.601455177776973,121.96456853749254,905.4763153295809,905.476315329581,134.49334828544872,750.0000000000001,594176.8016487182,1509.1271922159683,True,0.1485332592454337,594.1768016487182,2376.707206594873
2,2,1.0,1.5,1.9,0.4,7.0685834705770345,7.0685834705770345,22.419964865591712,4.953288027950069,1096.3213609512627,1096.3213609512627,157.48171690956696,750.0,1022892.0318649219,1827.2022682521047,True,0.14364557922407192,1022.8920318649219,4091.5681274596877
