row_i,col_j,ri,rebco_pancake_length,scan,slope_deg
1,0,0.01,142.51457016944934,715114546029.9121,9.693727201099163
1,4,0.1110169491525423,142.51457016944934,366710.5127478212,9.141636337754212
2,13,0.3383050847457627,247.304895754594,912.9313159667246,10.967150446340337
2,14,0.3635593220338983,247.304895754594,739.5219799564037,9.991391997160845
2,15,0.3888135593220339,247.3048957545936,608.7373984537026,9.175383650681644
2,16,0.4140677966101695,247.3048957545928,508.02528024821777,8.483658061367649
3,20,0.5150847457627119,352.0952213397378,138.92585081483125,11.687847659929425
3,21,0.5403389830508475,352.09522133973735,121.25646454153208,11.04539067580285
3,22,0.5655932203389831,352.0952213397355,106.56139770107778,10.47070455854909
3,23,0.5908474576271187,352.0952213397381,94.22790987789745,9.95372044334533
3,24,0.6161016949152542,352.0952213397355,83.79059811102573,9.486228178374729
3,25,0.6413559322033898,352.0952213397375,74.89132709230626,9.06147710822972
3,26,0.6666101694915254,352.09522133973894,67.25121320087125,8.673872731487151
3,27,0.6918644067796611,352.09522133973735,60.65071676685627,8.318744171706344
4,27,0.6918644067796611,456.8855469248814,36.59492782584767,11.781960089050026
4,28,0.7171186440677967,456.8855469248822,33.101085143201374,11.314766516769437
0,29,0.7423728813559323,37.724244584307506,9286.976139391516,11.507723781615976
4,29,0.7423728813559323,456.8855469248809,30.05349015302954,10.883751616674113
0,30,0.7676271186440679,37.724244584305104,8437.112707116516,11.01927901810001
4,30,0.7676271186440679,456.8855469248821,27.381636400341662,10.484889433279243
0,31,0.7928813559322034,37.72424458430704,7696.670469262905,10.560718224279649
4,31,0.7928813559322034,456.88554692487816,25.028156131557346,10.114720651560612
0,32,0.818135593220339,37.724244584309254,7048.36491637396,10.129357667507527
4,32,0.818135593220339,456.8855469248804,22.946023562282587,9.770258451754637
0,33,0.8433898305084746,37.724244584309886,6478.102475941304,9.722829208321789
4,33,0.8433898305084746,456.8855469248808,21.096422812169234,9.448912054761282
0,34,0.8686440677966102,37.72424458430481,5974.312918009067,9.339035807412568
4,34,0.8686440677966102,456.8855469248815,19.447107119021364,9.148424308087176
5,34,0.8686440677966102,561.6758725100218,12.999990461589045,11.742711068927703
0,35,0.8938983050847458,37.72424458430696,5527.436746366327,8.976114226134074
4,35,0.8938983050847458,456.885546924878,17.97112494527788,8.866820470658606
5,35,0.8938983050847458,561.6758725100209,12.006955991284912,11.378994734432785
0,36,0.9191525423728814,37.724244584308735,5129.528261347615,8.632403621210493
4,36,0.9191525423728814,456.8855469248769,16.645822742774072,8.60236597478774
5,36,0.9191525423728814,561.6758725100248,11.11602758485773,11.037467754122195
0,37,0.9444067796610168,37.72424458430736,4773.945748576815,8.30641898839451
4,37,0.9444067796610168,456.885546924881,15.452058230505202,8.353531420408755
5,37,0.9444067796610168,561.6758725100241,10.314135675542992,10.716161784574739
4,38,0.9696610169491526,456.8855469248773,14.37357522116287,8.118963424774327
5,38,0.9696610169491526,561.6758725100236,9.590196254525187,10.413331938152536
5,39,0.9949152542372882,561.6758725100237,8.934764161402812,10.127426520254629
5,40,1.0201694915254238,561.675872510022,8.339754373259671,9.857061444131036
6,40,1.0201694915254238,666.4661980951752,5.96789259044874,11.986816736302147
5,41,1.0454237288135593,561.6758725100212,7.798216569948821,9.600998523213674
6,41,1.0454237288135593,666.466198095161,5.578499631813326,11.67423579664307
5,42,1.070677966101695,561.6758725100257,7.304151725254543,9.358126988779246
6,42,1.070677966101695,666.4661980951738,5.22342850431922,11.377766389958522
5,43,1.0959322033898309,561.6758725100325,6.852362063167557,9.127447699704813
6,43,1.0959322033898309,666.4661980951768,4.898899440129467,11.096194187183405
5,44,1.121186440677966,561.6758725100284,6.438327665252078,8.908059606959672
6,44,1.121186440677966,666.4661980951702,4.601628547163887,10.828422703177353
5,45,1.1464406779661018,561.6758725100152,6.058104489618262,8.699148112927766
6,45,1.1464406779661018,666.4661980951657,4.328752762694641,10.573459576951448
5,46,1.1716949152542373,561.675872510019,5.708239686873223,8.499975028475403
6,46,1.1716949152542373,666.4661980951747,4.077767609345272,10.330404683713752
5,47,1.196949152542373,561.6758725100259,5.385700962372674,8.309869881682193
6,47,1.196949152542373,666.4661980951769,3.846475334119254,10.098439807010857
7,47,1.196949152542373,771.2565236803055,2.8880675721190268,11.86485931515771
5,48,1.2222033898305085,561.6758725100333,5.087817401953418,8.128222373742975
6,48,1.2222033898305085,666.4661980951759,3.632941510765752,9.876819642942971
7,48,1.2222033898305085,771.2565236803155,2.727159019804098,11.60386069114596
6,49,1.2474576271186442,666.466198095172,3.43545857389246,9.66486394464523
7,49,1.2474576271186442,771.2565236803141,2.5783958759059415,11.354243930591084
6,50,1.2727118644067796,666.4661980951737,3.252515056462347,9.46195064534361
7,50,1.2727118644067796,771.2565236803116,2.440629288240723,11.115279350620748
6,51,1.297966101694915,666.4661980951653,3.08276954056474,9.267509823349226
7,51,1.297966101694915,771.2565236803193,2.3128402640915757,10.886297879221793
6,52,1.3232203389830508,666.4661980951618,2.9250285195689076,9.081018393234052
7,52,1.3232203389830508,771.2565236803082,2.1941226841838746,10.666684976742507
6,53,1.3484745762711865,666.4661980951614,2.778227519227178,8.901995424912792
7,53,1.3484745762711865,771.2565236803043,2.0836688289477627,10.455875260769968
8,53,1.3484745762711865,876.0468492654595,1.6220408154162742,11.995420232128735
6,54,1.3737288135593222,666.4661980951784,2.6414149445646347,8.729998006962575
7,54,1.3737288135593222,771.2565236803176,1.980757004181074,10.253347743435516
8,54,1.3737288135593222,876.0468492654679,1.5416962002217782,11.762765995591938
6,55,1.3989830508474577,666.4661980951646,2.5137382150247327,8.564617582799263
7,55,1.3989830508474577,771.2565236803066,1.8847409276085536,10.058621603017885
8,55,1.3989830508474577,876.0468492654629,1.4667532972320465,11.53906801056235
6,56,1.4242372881355934,666.4661980951653,2.394431827367794,8.405476698641758
7,56,1.4242372881355934,771.2565236803083,1.7950405976863375,9.871252422595035
8,56,1.4242372881355934,876.046849265443,1.396756094806472,11.323818070960808
6,57,1.4494915254237288,666.4661980951706,2.282807048134558,8.252226110914107
7,57,1.4494915254237288,771.2565236803149,1.7111344143733556,9.690828837777511
8,57,1.4494915254237288,876.0468492654421,1.331294675927612,11.116545458664326
6,58,1.4747457627118643,666.4661980951732,2.1782429881104486,8.104542208105247
7,58,1.4747457627118643,771.2565236802997,1.6325523608516364,9.516969543448548
8,58,1.4747457627118643,876.0468492654434,1.269999815434986,10.916813593310811
12,59,1.5,1295.2081516060189,0.562549816300348,8.486205165092619
13,59,1.5,1399.9984771911738,0.4831566372703174,9.215551217346919
14,59,1.5,1504.7888027763177,0.4196500536562353,9.946128209489707
15,59,1.5,1609.5791283614667,0.368045466124786,10.677816561461192
16,59,1.5,1714.3694539466123,0.3255349135815524,11.410443471552762
