row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
0,0,4.0,0.001,0.003,0.002,1.2566370614359172e-05,1.2566370614359172e-05,2.215863283240203,7.626697781187406e+23,2202.8322482237936,2202.8322482237936,881.664464426323,3.370042653133311,67.06107513134654,3671.3870803729897,True,0.4002413098579041,0.06706107513134654,0.06706107513134654
0,1,4.0,0.011060402684563542,0.013060402684563542,0.002,0.0015372756279905947,0.0015372756279905947,3.170243703094959,2.002925804034999e+16,2095.5549989048804,2095.5549989048804,1261.422877076141,26.374799501467944,608.1938903916846,3492.5916648414677,True,0.6019516919075615,0.6081938903916846,0.6081938903916846
0,2,4.0,0.021120805369127416,0.023120805369127417,0.002,0.0056057124054638,0.0056057124054638,3.5891763583607577,163352590248443.06,2051.9817764435556,2051.9817764435556,1428.175305248131,59.51800731005168,1289.815404341874,3419.969627405926,True,0.6959980452279695,1.289815404341874,1.289815404341874
0,3,4.0,0.031181208053691067,0.03318120805369107,0.002,0.012217876703033793,0.012217876703033793,3.850219006523354,9189257070644.77,2025.8184004991115,2025.8184004991115,1532.1518352757466,98.1368765650747,2039.0235525044473,3376.3640008318525,True,0.7563125277656982,2.0390235525044473,2.0390235525044473
0,4,4.0,0.04124161073825494,0.04324161073825494,0.002,0.021373768520700866,0.021373768520700866,4.036550375759068,1179132879985.4482,2007.5851000701018,2007.5851000701018,1606.4506198303745,140.47553620731736,2831.734237990387,3345.975166783503,True,0.8001905472272531,2.831734237990387,2.831734237990387
0,5,4.0,0.05130201342281859,0.053302013422818595,0.002,0.033073387858464615,0.033073387858464615,4.179559810509122,239381254197.92023,1993.8328423887301,1993.8328423887301,1663.5626215565042,185.5861572778305,3655.8420264696124,3323.0547373145505,True,0.8343541074202877,3.6558420264696125,3.6558420264696125
0,6,4.0,0.06136241610738247,0.06336241610738247,0.002,0.047316734716325554,0.047316734716325554,4.294435579094605,65093007481.757416,1982.934493862543,1982.934493862543,1709.5321523833015,232.8768213172513,4504.125090554739,3304.8908231042383,True,0.8621223533477986,4.504125090554739,4.504125090554739
0,7,4.0,0.07142281879194634,0.07342281879194634,0.002,0.06410380909428345,0.06410380909428345,4.389652881210008,21670774097.694893,1973.9995402766806,1973.9995402766806,1747.7322040294846,281.9443368540221,5371.825179962871,3289.9992337944677,True,0.8853761960777955,5.371825179962871,5.371825179962871
0,8,4.0,0.08148322147650999,0.08348322147651,0.002,0.08343461099233787,0.08343461099233787,4.47040622906134,8368850686.607719,1966.4906572354575,1966.4906572354575,1780.2302380115075,332.4974100830338,6255.59329479485,3277.484428725763,True,0.9052828354212474,6.25559329479485,6.25559329479485
0,9,4.0,0.09154362416107387,0.09354362416107387,0.002,0.10530914041048965,0.10530914041048965,4.540099713310269,3620146433.1293797,1960.0602938268735,1960.0602938268735,1808.3811951016862,384.3163457491739,7152.957743510629,3266.7671563781228,True,0.9226150852589106,7.15295774351063,7.15295774351063
0,10,4.0,0.10160402684563752,0.10360402684563752,0.002,0.1297273973487378,0.1297273973487378,4.6010792530005356,1712629377.162057,1954.471595731982,1954.471595731982,1833.1188805655431,437.2298937152965,8062.027549940172,3257.4526595533034,True,0.9379102180704805,8.062027549940172,8.062027549940172
0,11,4.0,0.11166442953020117,0.11366442953020117,0.002,0.1566893818070828,0.1566893818070828,4.65502636327156,871072144.250397,1949.5564306466192,1949.5564306466192,1855.112660773066,491.10102156285745,8981.314530095833,3249.2607177443656,True,0.9515562779363977,8.981314530095833,8.981314530095833
0,12,4.0,0.12172483221476504,0.12372483221476505,0.002,0.18619509378552535,0.18619509378552535,4.703185046109643,470340330.3128472,1945.191473627911,1945.191473627911,1874.857755037966,545.8177061538572,9909.620391095612,3241.9857893798517,True,0.9638422646081376,9.909620391095611,9.909620391095611
0,13,4.0,0.1317852348993287,0.1337852348993287,0.002,0.2182445332840641,0.2182445332840641,4.746499881789995,267035777.06385493,1941.2837960754084,1941.2837960754084,1892.7301911857112,601.286721395686,10845.961820836645,3235.472993459014,True,0.9749889197098046,10.845961820836644,10.845961820836644
0,14,4.0,0.14184563758389257,0.14384563758389257,0.002,0.25283770030270053,0.25283770030270053,4.785703902977441,158228675.05957425,1937.761776361206,1937.761776361206,1909.0217775088074,657.4293027049749,11789.518943435736,3229.60296060201,True,0.9851684561007454,11.789518943435736,11.789518943435736
0,15,4.0,0.15190604026845622,0.15390604026845622,0.002,0.28997459484143306,0.28997459484143306,4.821376620949269,97272601.48456939,1934.5691456387235,1934.5691456387235,1923.9631967357755,714.1780343239856,12739.598762459073,3224.281909397873,True,0.9945176687393893,12.739598762459073,12.739598762459073
0,16,4.0,0.16196644295301987,0.16396644295301988,0.002,0.32965521690026245,0.32965521690026245,4.785949677872365,65333447.3158347,1937.7397405401503,1937.7397405401503,1910.5802017224084,750.0000000000002,13461.288071052033,3229.566234233584,True,0.9859839078233639,13.461288071052033,13.461288071052033
0,17,4.0,0.17202684563758375,0.17402684563758375,0.002,0.3718795664791896,0.3718795664791896,4.6446214611563965,49286984.09708019,1950.5023207927077,1950.5023207927077,1854.9392235952316,749.9999999999998,13785.271017217665,3250.8372013211797,True,0.9510059043874205,13.785271017217665,13.785271017217665
0,18,4.0,0.18208724832214762,0.18408724832214762,0.002,0.41664764357821377,0.41664764357821377,4.514950986154018,37789052.48192497,1962.3753563283517,1962.3753563283517,1803.953589265009,750.0,14100.028203981383,3270.625593880586,True,0.9192704053521374,14.100028203981383,14.100028203981383
0,19,4.0,0.19214765100671127,0.19414765100671127,0.002,0.46395944819733376,0.46395944819733376,4.395405660282651,29395352.053537097,1973.4625377391865,1973.4625377391865,1757.0129384527852,749.9999999999999,14406.354878606406,3289.104229565311,True,0.8903198843924509,14.406354878606406,14.406354878606406
0,20,4.0,0.20220805369127515,0.20420805369127515,0.002,0.5138149803365518,0.5138149803365518,4.284720505584619,23164809.37169983,1983.8511173919587,1983.8511173919587,1713.6134286357167,750.0000000000001,14704.94151641556,3306.418528986598,True,0.8637812654452084,14.704941516415559,14.704941516415559
0,21,4.0,0.2122684563758388,0.2142684563758388,0.002,0.5662142399958656,0.5662142399958656,4.181840933420054,18470072.5057603,1993.6151533178568,1993.6151533178568,1673.3349609569316,750.0000000000001,14996.39217827029,3322.691922196428,True,0.8393470315331916,14.99639217827029,14.99639217827029
0,22,4.0,0.22232885906040267,0.22432885906040267,0.002,0.6211572271752774,0.6211572271752774,4.085879797422222,14884255.277117198,2002.8179973874599,2002.8179973874599,1635.824088086976,750.0,15281.238919413978,3338.0299956457666,True,0.8167612285393867,15.281238919413978,15.281238919413978
