source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
thickness_grids_L9000mm.csv,1,3,15,9.0,1.1863157894736842,1.1982382271468144,0.0119224376731301,39.79174672532095,39.79174672532095,4.35244143930522,10.989202362573698,1977.480851381318,1977.480851381318,300.5317252825155,750.0000000000001,203606.38592207828,3295.8014189688633,True,0.151977059637562,203.6063859220783,90.49172707647924
thickness_grids_L9000mm.csv,2,3,16,9.0,1.2647368421052632,1.276659279778393,0.0119224376731301,45.22647314099863,45.22647314099863,4.2153438570812325,8.151424212640732,1990.423934362775,1990.4239343627748,292.35946527640635,750.0000000000001,209724.96419691265,3317.3732239379583,True,0.1468830133265072,209.72496419691265,93.21109519862785
thickness_grids_L9000mm.csv,3,3,17,9.0,1.343157894736842,1.355080332409972,0.0119224376731301,51.00896603120324,51.00896603120324,4.090435579915634,6.156132593222401,2002.378985421838,2002.378985421838,285.0260650931341,749.9999999999999,215786.75382416396,3337.298309036397,True,0.142343715734256,215.78675382416395,95.90522392185063
thickness_grids_L9000mm.csv,4,3,18,9.0,1.421578947368421,1.4335013850415512,0.0119224376731301,57.13922539593481,57.13922539593481,3.976011211074237,4.723925421568839,2013.469578177208,2013.469578177208,278.4162229803633,750.0,221806.3576362601,3355.7826302953467,True,0.1382768460958884,221.8063576362601,98.58060339389338
thickness_grids_L9000mm.csv,5,3,19,9.0,1.5,1.5119224376731302,0.0119224376731301,63.61725123519331,63.61725123519331,3.870681728418803,3.6768429386871495,2023.798317468472,2023.798317468472,272.4358347086578,749.9999999999999,227796.4635333681,3372.9971957807866,True,0.1346160990238603,227.7964635333681,101.24287268149692
thickness_grids_L9000mm.csv,6,4,16,9.0,1.2647368421052632,1.284376731301939,0.0196398891966759,45.22647314099863,45.22647314099863,5.410283131584002,3.0039005474133753,1883.4795321618667,1883.4795321618667,227.8388857258548,750.0000000000001,285388.3847485738,3139.1325536031113,True,0.1209670091101761,285.3883847485738,126.83928211047726
thickness_grids_L9000mm.csv,7,4,17,9.0,1.343157894736842,1.3627977839335177,0.0196398891966759,51.00896603120324,51.00896603120324,5.249966638349646,2.268610930351676,1897.0927215701108,1897.0927215701108,222.12646442388169,750.0,293232.8289024535,3161.8212026168517,True,0.1170878270198837,293.2328289024535,130.32570173442377
thickness_grids_L9000mm.csv,8,4,18,9.0,1.421578947368421,1.4412188365650969,0.0196398891966759,57.13922539593481,57.13922539593481,5.103105966107023,1.740824890181188,1909.754084553805,1909.754084553805,216.97772399926288,750.0000000000001,301029.14087989746,3182.9234742563413,True,0.1136155307922578,301.02914087989745,133.79072927995443
thickness_grids_L9000mm.csv,9,4,19,9.0,1.5,1.5196398891966758,0.0196398891966759,63.61725123519331,63.61725123519331,4.9679183414220605,1.3549620567099918,1921.5739858531977,1921.5739858531977,212.31934825269343,750.0000000000003,308793.23727235233,3202.623309755329,True,0.1104924139355589,308.7932372723523,137.24143878771216
thickness_grids_L9000mm.csv,10,5,16,9.0,1.2647368421052632,1.2942991689750694,0.029562326869806,45.22647314099863,45.22647314099863,6.63773307389061,1.325825559748364,1785.930869987349,1785.930869987349,185.76082064644612,749.9999999999998,370805.03332189337,2976.551449978915,True,0.1040134440633539,370.80503332189335,164.8022370319526
thickness_grids_L9000mm.csv,11,5,17,9.0,1.343157894736842,1.372720221606648,0.029562326869806,51.00896603120324,51.00896603120324,6.441045014587456,1.0012922562215771,1800.8124327275268,1800.8124327275268,181.10608329384368,749.9999999999999,380499.9290571542,3001.354054545878,True,0.1005690987037105,380.49992905715425,169.11107958095744
thickness_grids_L9000mm.csv,12,7,13,9.0,1.029473684210526,1.085495844875346,0.0560221606648199,29.96559331754638,29.96559331754638,10.127980678089642,0.9646583669482106,1560.343789974121,1560.343789974121,147.78406028394772,750.0000000000001,528825.5122508734,2600.5729832902016,True,0.094712499407838,528.8255122508734,235.03356100038815
