length,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged,slope_deg
10m,1,24,10.0,1.243103448275862,1.2590635725280368,0.0159601242521747,0.1254591776287646,0.0250918355257529,48.54722552422032,48.54722552422032,4.919433112243967,3.470027946381286,252.8457701282136,481.4630959140985,750.0,250.9183552575261,627295.8881438151,962.926191828197,3.80835396747952,True,0.17063274158231206
10m,1,25,10.0,1.2944827586206895,1.3098169753511195,0.0153342167304297,0.1254591776287646,0.0250918355257529,52.64321609535865,52.64321609535865,4.725341766968916,3.1117186144605116,253.4029608466181,485.79760969174794,749.9999999999998,250.91835525752836,627295.8881438209,971.595219383496,3.834190477243837,True,0.1643145258833811
10m,1,26,10.0,1.3458620689655172,1.360617361800101,0.0147552928345837,0.1254591776287646,0.0250918355257529,56.9050722990828,56.9050722990828,4.545945254395296,2.802471420137078,253.9903006940144,489.8807600391603,750.0,250.918355257536,627295.8881438399,979.7615200783206,3.857476121730541,True,0.1583150203042746
10m,1,27,10.0,1.3972413793103449,1.4114596588669472,0.0142182795566023,0.1254591776287646,0.0250918355257529,61.33279413539281,61.33279413539281,4.3796395263529,2.5340312229313087,254.60665071538895,493.73375430635053,749.9999999999998,250.9183552575208,627295.888143802,987.4675086127012,3.8784042201495263,True,0.1526024517599292
10m,1,28,10.0,1.4486206896551723,1.4623394951408348,0.0137188054856622,0.1254591776287646,0.0250918355257529,65.92638160428865,65.92638160428865,4.22504529234956,2.2997730843134825,255.25103281384335,497.37548545547554,750.0000000000001,250.9183552575205,627295.8881438011,994.7509709109512,3.897147682205192,True,0.1471549444710839
10m,1,29,10.0,1.5,1.5132530841044811,0.0132530841044811,0.1254591776287646,0.0250918355257529,70.68583470577035,70.68583470577035,4.080970064092386,2.0943358347790353,255.9225970301823,500.82283837037176,750.0,250.9183552575257,627295.8881438142,1001.6456767407436,3.9138618018268008,True,0.07546733749667098
6m,1,24,6.0,1.243103448275862,1.2590635725280368,0.0159601242521747,0.1254591776287646,0.0250918355257529,29.128335314532187,29.128335314532187,4.919433112243967,19.04709748283489,265.75838835159345,481.4630959140985,750.0,250.9183552575261,376377.53288628906,962.926191828197,3.623314386427808,True,0.14231581063241672
6m,1,25,6.0,1.2944827586206895,1.3098169753511195,0.0153342167304297,0.1254591776287646,0.0250918355257529,31.58592965721519,31.58592965721519,4.725341766968917,17.080325779678525,267.32721730978716,485.79760969174794,750.0000000000002,250.91835525752836,376377.53288629255,971.595219383496,3.63447923171093,True,0.1351232903137456
6m,1,26,6.0,1.3458620689655172,1.360617361800101,0.0147552928345837,0.1254591776287646,0.0250918355257529,34.14304337944968,34.14304337944968,4.545945254395296,15.382857762824592,268.95825216040026,489.8807600391603,750.0,250.918355257536,376377.532886304,979.7615200783206,3.6428014839047,True,0.1283124448931019
6m,1,27,6.0,1.3972413793103449,1.4114596588669472,0.0142182795566023,0.1254591776287646,0.0250918355257529,36.799676481235686,36.799676481235686,4.379639526352901,13.909380694773343,270.649492892118,493.73375430635053,750.0000000000001,250.9183552575208,376377.5328862812,987.4675086127012,3.6485104703532905,True,0.121858814773619
