solenoid_length_m,ri,rf,th,b0,scan,stress,margin,rebco_pancake_length,rebco_total_length,converged
10.0,1.5,1.551162494629677,0.0511624946296769,8.018272064925716,0.0963068951871003,750.0,6.475105557266497,980.8371748506004,2452092.937126501,True
10.0,1.4747457627118643,1.5267547770949863,0.0520090143831217,8.153260056836434,0.1008825462377276,750.0000000000002,6.448021432981297,980.8371748505898,2452092.9371264745,True
10.0,1.4494915254237288,1.502375042065386,0.0528835166416572,8.292832333684466,0.1057644020070422,750.0000000000001,6.419902919277668,980.8371748506012,2452092.937126503,True
10.0,1.4242372881355934,1.4780246742397745,0.0537873861041811,8.437224504511418,0.1109791754818292,749.9999999999998,6.3907184072323595,980.8371748506022,2452092.9371265057,True
10.0,1.3989830508474577,1.453705149369783,0.0547220985223253,8.586688473806241,0.1165564775540632,749.9999999999997,6.360434912046859,980.8371748506,2452092.9371265,True
10.0,1.3737288135593222,1.4294180417039886,0.0556892281446663,8.74149386411027,0.122529195676451,750.0,6.329017989573209,980.837174850598,2452092.9371264954,True
10.0,1.3484745762711865,1.40516503215655,0.0566904558853635,8.901929589217065,0.1289339307543702,750.0000000000005,6.296431646581406,980.83717485059,2452092.937126475,True
10.0,1.3232203389830508,1.380947917281525,0.0577275782984745,9.068305596776831,0.1358115026342111,750.0000000000001,6.2626382442106285,980.837174850597,2452092.9371264926,True
10.0,1.297966101694915,1.3567686191443469,0.0588025174494315,9.240954801834844,0.1432075366509337,750.0000000000001,6.22759839399943,980.837174850598,2452092.9371264954,True
10.0,1.2727118644067796,1.3326291961935786,0.0599173317867989,9.4202352360001,0.1511731462822206,749.9999999999997,6.191270845824399,980.8371748506006,2452092.9371265015,True
10.0,1.2474576271186442,1.3085318552493252,0.061074228130681,9.606532440639482,0.159765730146263,750.0,6.153612367006033,980.837174850591,2452092.9371264777,True
10.0,1.2222033898305085,1.284478964739769,0.0622755749092605,9.800262136824404,0.1690499055335399,750.0,6.114577611763323,980.8371748505942,2452092.9371264856,True
10.0,1.196949152542373,1.2604730693345525,0.0635239167921795,10.00187320984399,0.17909860558451,749.9999999999999,6.07411898011195,980.8371748505922,2452092.9371264805,True
10.0,1.1716949152542373,1.2365169061433805,0.0648219908891429,10.211851052088562,0.1899943733806811,750.0000000000001,6.032186465203776,980.837174850603,2452092.9371265075,True
10.0,1.1464406779661018,1.212613422670695,0.0661727447045932,10.43072131518403,0.2018308939523685,749.9999999999999,5.988727487993435,980.837174850594,2452092.937126485,True
10.0,1.121186440677966,1.188765796742945,0.0675793560649788,10.659054130642314,0.2147148149776291,749.9999999999998,5.943686717997351,980.8371748505916,2452092.937126478,True
10.0,1.0959322033898309,1.164977458654309,0.0690452552644782,10.897468868260214,0.2287679193536418,750.0000000000001,5.8970058787732045,980.837174850601,2452092.9371265024,True
5.0,1.5,1.6040212180007505,0.1040212180007502,11.433149947212613,0.234828203481818,750.0000000000002,7.241969953704081,2028.7404307020356,2535925.5383775444,True
10.0,1.070677966101695,1.141252115810273,0.0705741497085781,11.146639513389411,0.2441297286618027,750.0,5.848623536591564,980.837174850602,2452092.9371265047,True
5.0,1.4747457627118643,1.580430046675021,0.1056842839631564,11.62243665035002,0.246255411290553,749.9999999999999,7.223309286622584,2028.740430702033,2535925.5383775416,True
5.0,1.4494915254237288,1.5568910527303503,0.1073995273066215,11.817997838774978,0.2584691719348244,750.0,7.203077934320303,2028.7404307020256,2535925.538377532,True
10.0,1.0454237288135593,1.1175937801867943,0.072170051373235,11.407300758433797,0.2609606368873274,750.0,5.798474870595862,980.8371748505892,2452092.9371264735,True
5.0,1.4242372881355934,1.5334066390597243,0.1091693509241309,12.020146191481231,0.2715402636611545,750.0,7.181222698596555,2028.7404307020208,2535925.538377526,True
