row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
0,0,10.0,0.01,0.012,0.002,0.003141592653589793,0.003141592653589793,1.4827092539551228,3.865013611725474e+16,1146.9064032101553,1146.9064032101553,589.9526989508176,4.373631017320323,1185.0604756017017,1911.5106720169256,1.6666666666666667,True,0.5143860887859362,1.1850604756017016,0.47402419024068065
0,1,10.0,0.025050505050505052,0.027050505050505054,0.002,0.01971436736724688,0.01971436736724688,1.8224454409514614,37151837882096.25,1125.3250807131774,1125.3250807131774,725.1378477283747,16.55219911572625,3515.744743161211,1875.541801188629,1.6666666666666667,True,0.644380775081292,3.515744743161211,1.4062978972644844
0,2,10.0,0.0401010101010101,0.042101010101010104,0.002,0.050519669068425026,0.050519669068425026,1.9915120911934852,1131378224537.814,1114.9125912307245,1114.9125912307245,792.4242605118702,31.6410838655806,6118.261736279164,1858.1876520512076,1.6666666666666667,True,0.7107501222469221,6.118261736279164,2.447304694511666
0,3,10.0,0.05515151515151515,0.057151515151515155,0.002,0.09555749775712426,0.09555749775712426,2.1012586165471805,109078880008.87683,1108.265535379981,1108.265535379981,836.1169648415024,48.44473754946171,8872.444688636167,1847.1092256333018,1.6666666666666667,True,0.7544373962281797,8.872444688636168,3.548977875454467
0,4,10.0,0.0702020202020202,0.0722020202020202,0.002,0.15482785343334451,0.15482785343334451,2.1810039614280807,18811285261.413635,1103.489690080692,1103.489690080692,867.8818943070531,66.43434591030899,11728.521760435804,1839.1494834678201,1.6666666666666667,True,0.7864884485178921,11.728521760435804,4.6914087041743215
0,5,10.0,0.08525252525252525,0.08725252525252525,0.002,0.22833073609708587,0.22833073609708587,2.242792118563944,4607909295.143958,1099.820121755499,1099.820121755499,892.5114030415072,85.31304423510129,14659.614335849154,1833.0335362591652,1.6666666666666667,True,0.8115067049481763,14.659614335849154,5.8638457343396615
0,6,10.0,0.1003030303030303,0.1023030303030303,0.002,0.3160661457483483,0.3160661457483483,2.292711974764694,1427414148.0887344,1096.8748476675255,1096.8748476675255,912.4283304477539,104.89220066722676,17649.10691393781,1828.1247461125427,1.6666666666666667,True,0.8318436076713838,17.649106913937807,7.0596427655751235
0,7,10.0,0.11535353535353535,0.11735353535353535,0.002,0.41803408238713174,0.41803408238713174,2.334252010130471,523091896.5306683,1094.4371072255146,1094.4371072255146,929.0208130201111,125.04218008171019,20685.824295482646,1824.0618453758577,1.6666666666666667,True,0.8488571950701241,20.685824295482647,8.274329718193059
0,8,10.0,0.1304040404040404,0.1324040404040404,0.002,0.5342345460134366,0.5342345460134366,2.369587671722182,217475452.09913746,1092.3727772067336,1092.3727772067336,943.1545246501753,145.6688714726141,23761.798932037884,1820.621295344556,1.6666666666666667,True,0.8633998799035263,23.761798932037884,9.504719572815153
0,9,10.0,0.14545454545454545,0.14745454545454545,0.002,0.664667536627262,0.664667536627262,2.400161808780568,99746489.39720021,1090.5934818900732,1090.5934818900732,955.4036308151702,166.70110712348853,26871.100830273805,1817.6558031501222,1.6666666666666667,True,0.8760401072261961,26.871100830273804,10.748440332109523
