row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
0,0,6.0,0.01,0.07812809993849779,0.06812809993849779,0.018862122292152797,0.0037724244584305586,0.0018849555921538759,0.0018849555921538759,23.096977897917917,2469055155046.5874,269.8206495317925,269.8100586062627,31.15617833268849,37.72424458430558,56586.36687645837,539.6201172125254,1.9999214965530014,True
0,1,6.0,0.03525423728813559,0.08512849844069885,0.04987426115256326,0.018862122292152797,0.0037724244584305586,0.023427382573670004,0.023427382573670004,18.7868859098265,1268401496.955,299.8201715510968,299.8091334325872,99.26692857599791,37.72424458430558,56586.36687645837,599.6182668651744,1.9999263684064186,True
0,2,6.0,0.06050847457627119,0.09831213300273346,0.03780365842646227,0.018862122292152797,0.0037724244584305586,0.06901341719747756,0.06901341719747756,15.558302550042894,73585889.89876074,327.622317403203,327.62913469531355,154.1583096272886,37.72424458430559,56586.36687645838,655.2582693906271,2.0000416167748556,True
0,3,6.0,0.08576271186440677,0.11558219043752872,0.02981947857312195,0.018862122292152797,0.0037724244584305586,0.13864305946357647,0.13864305946357647,13.18379479969062,13950817.34936914,352.0275867696473,352.0397250606627,198.9021465427759,37.72424458430559,56586.36687645838,704.0794501213254,2.0000689621579193,True
0,4,6.0,0.11101694915254237,0.13538376194779814,0.024366812795255766,0.018862122292152797,0.0037724244584305586,0.23231630937196684,0.23231630937196684,11.413068921193808,4445081.6697071185,373.0447574910872,373.03287055827377,236.1324002732129,37.72424458430553,56586.3668764583,746.0657411165475,1.9999362707419166,True
0,5,6.0,0.13627118644067798,0.1567604422485147,0.020489255807836726,0.018862122292152797,0.0037724244584305586,0.3500331669226487,0.3500331669226487,10.056952602205467,1880148.8463417764,391.06461004805647,391.0786888061334,267.6521888897272,37.72424458430561,56586.366876458414,782.1573776122668,2.0000720022099427,True
0,6,6.0,0.16152542372881357,0.17914927437969896,0.017623850650885398,0.018862122292152797,0.0037724244584305586,0.4917936321156218,0.4917936321156218,8.991647541320294,947229.1772935212,406.6569055334847,406.66360397364446,294.83482193074445,37.72424458430551,56586.36687645826,813.3272079472889,2.000032943939073,True
0,7,6.0,0.18677966101694918,0.20221434610236322,0.01543468508541404,0.018862122292152797,0.0037724244584305586,0.6575977049508865,0.6575977049508865,8.134017868539777,537032.2732374565,420.25100763814464,420.24063106994765,318.5680333377366,37.72424458430576,56586.36687645864,840.4812621398953,1.9999506172834407,True
0,8,6.0,0.21203389830508476,0.22574847514535049,0.013714576840265724,0.018862122292152797,0.0037724244584305586,0.8474453854284425,0.8474453854284425,7.428615812544473,331449.8645635139,432.1842681853204,432.17870762815164,339.4679854529071,37.72424458430546,56586.36687645819,864.3574152563033,1.9999742676558214,True
0,9,6.0,0.23728813559322035,0.24961902830775226,0.012330892714531916,0.018862122292152797,0.0037724244584305586,1.0613366735482899,1.0613366735482899,6.838131243820103,218019.26539073617,442.7501173994825,442.76079769691836,358.02760144951094,37.724244584305765,56586.36687645865,885.5215953938367,2.000048245260774,True
