solenoid_length_m,ri,rf,th,b0,scan,stress,margin,rebco_pancake_length,rebco_total_length,converged
7.0,1.5,1.5295075977338013,0.0295075977338012,6.089362931065711,0.9506769501028636,750.0,5.108139202127334,561.6758725100209,982932.7768925366,True
7.0,1.4747457627118643,1.5047486687689815,0.0300029060571171,6.192608778997804,0.9953744862818696,749.9999999999999,5.097820923476155,561.6758725100281,982932.7768925492,True
7.0,1.4494915254237288,1.4800064776211732,0.0305149521974443,6.299398290366571,1.043024839308058,750.0000000000002,5.086672284561729,561.6758725100301,982932.7768925529,True
7.0,1.4242372881355934,1.455281878002077,0.0310445898664839,6.409916157675194,1.0938817733919577,750.0000000000001,5.074664450588491,561.6758725100361,982932.7768925632,True
6.0,1.5,1.534949963298644,0.0349499632986438,6.627172789123654,1.1328259529726077,750.0000000000002,5.2830453953497445,666.4661980951686,999699.2971427528,True
7.0,1.3989830508474577,1.4305757820136211,0.0315927311661634,6.524360069145882,1.1482261258812418,750.0000000000002,5.06176736312987,561.6758725100158,982932.7768925276,True
6.0,1.4747457627118643,1.5102802569281992,0.0355344942163347,6.739335112743265,1.1862298214522,750.0000000000003,5.274811260186962,666.4661980951732,999699.29714276,True
7.0,1.3737288135593222,1.405889165165066,0.0321603516057438,6.6429418663870345,1.2063692817710143,750.0000000000001,5.047949663970563,561.6758725100332,982932.776892558,True
6.0,1.4494915254237288,1.4856301935898168,0.036138668166088,6.855336745256758,1.2431734255081996,750.0,5.265651721900901,666.4661980951706,999699.297142756,True
7.0,1.3484745762711865,1.381223071909523,0.0327484956383365,6.765888827431995,1.268657172625595,750.0000000000001,5.033178612656699,561.6758725100233,982932.7768925407,True
6.0,1.4242372881355934,1.4610007675379015,0.0367634794023081,6.975377069975375,1.3039621633405851,750.0000000000001,5.255533141809221,666.4661980951653,999699.297142748,True
7.0,1.3232203389830508,1.3565786217627946,0.0333582827797438,6.893445091203004,1.335474891422693,750.0000000000002,5.017419997142624,561.6758725100199,982932.7768925348,True
6.0,1.3989830508474577,1.4363930403580245,0.0374099895105666,7.0996694371589095,1.368934159440602,749.9999999999999,5.244420552499733,666.4661980951646,999699.2971427467,True
7.0,1.297966101694915,1.3319570160761642,0.0339909143812489,7.025873241835798,1.4072520330499618,750.0,5.000638036852966,561.6758725100269,982932.7768925471,True
6.0,1.3737288135593222,1.411808146680565,0.0380793331212427,7.228442401633645,1.4384644849884884,749.9999999999999,5.232277582741695,666.4661980951784,999699.2971427676,True
7.0,1.2727118644067796,1.3073595455448377,0.034647681138058,7.163456074085269,1.4844688924975924,749.9999999999999,4.982795277400329,561.6758725100292,982932.7768925512,True
6.0,1.3484745762711865,1.3872473004768344,0.0387727242056479,7.361941093630779,1.5129700185309796,750.0000000000003,5.219066376333972,666.4661980951614,999699.297142742,True
7.0,1.2474576271186442,1.2827875985454107,0.0353299714267665,7.306498564299081,1.567663680227546,750.0000000000002,4.963852476115508,561.6758725100323,982932.7768925563,True
6.0,1.3232203389830508,1.362711802006913,0.0394914630238623,7.50042873978926,1.592915059270184,750.0000000000001,5.204747504292519,666.4661980951618,999699.2971427428,True
7.0,1.2222033898305085,1.2582426704092535,0.036039280578745,7.455330075284617,1.657440948080171,750.0000000000003,4.943768477447361,561.6758725100333,982932.7768925582,True
6.0,1.297966101694915,1.3382030454978062,0.0402369438028908,7.644188353762839,1.6788178277826595,750.0000000000002,5.189279869718509,666.4661980951653,999699.297142748,True
7.0,1.196949152542373,1.2337263737544597,0.0367772212120864,7.610306827922972,1.7544814610925357,750.0000000000002,4.9225000771777685,561.6758725100259,982932.7768925452,True
6.0,1.2727118644067796,1.3137225276413165,0.0410106632345368,7.79352461878652,1.771258016556183,750.0,5.172620604612706,666.4661980951737,999699.2971427606,True
7.0,1.1716949152542373,1.2092404500173064,0.0375455347630691,7.771814677737079,1.8595538029426009,750.0000000000002,4.900001874271188,561.675872510019,982932.7768925332,True
6.0,1.2474576271186442,1.2892718570134798,0.0418142298948356,7.948765987971516,1.870885586667269,750.0,5.154724957819614,666.466198095172,999699.297142758,True
7.0,1.1464406779661018,1.1847867823455824,0.0383461043794806,7.940272240972474,1.97352806824131,750.0000000000001,4.876226109037761,561.6758725100152,982932.7768925268,True
6.0,1.2222033898305085,1.264852764531783,0.0426493747012746,8.11026703210749,1.978431048870396,750.0000000000001,5.1355461731918775,666.4661980951759,999699.2971427636,True
4.0,1.5,1.551162494629677,0.0511624946296769,8.018272064925716,2.0423213507455045,750.0,5.382641674668776,980.8371748506004,980837.1748506004,True
6.0,1.196949152542373,1.240467115083029,0.0435179625406563,8.278411069472233,2.0947175194493104,749.9999999999999,5.115035356960631,666.4661980951769,999699.2971427654,True
7.0,1.121186440677966,1.1603674100411256,0.0391809693631595,8.116134422308356,2.0973920772882177,749.9999999999998,4.851122486121593,561.6758725100284,982932.7768925496,True
4.0,1.4747457627118643,1.5267547770949863,0.0520090143831217,8.15326005683643,2.1393543805831157,749.9999999999997,5.3848228890309455,980.8371748505898,980837.1748505898,True
6.0,1.1716949152542373,1.2161169204739908,0.0444220052197534,8.453613117726277,2.220674906133079,750.0000000000001,5.093141333176191,666.4661980951747,999699.297142762,True
