row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
0,0,6.0,0.001,0.003,0.002,1.8849555921538758e-05,,1.8849555921538758e-05,,,,,,13152.739068633626,33.05643078806603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,1,6.0,0.016141414141414012,0.018141414141414014,0.002,0.004911162269101549,,0.004911162269101549,,,,,,5718.266867807138,14.37133728776175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,2,6.0,0.031282828282828135,0.033282828282828136,0.002,0.01844646467828267,,0.01844646467828267,,,,,,4229.013443074737,10.628054519694842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,3,6.0,0.04642424242424226,0.04842424242424226,0.002,0.04062475678346489,,0.04062475678346489,,,,,,3507.92482620592,8.815275147944307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,4,6.0,0.0615656565656566,0.0635656565656566,0.002,0.07144603858464874,,0.07144603858464874,,,,,,3062.6134423429626,7.695513608706394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,5,6.0,0.0767070707070705,0.0787070707070705,0.002,0.11091031008183264,,0.11091031008183264,,,,,,2752.8372286671274,6.916314643817857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,6,6.0,0.09184848484848462,0.09384848484848463,0.002,0.15901757127501817,,0.15901757127501817,,,,,,2521.404855446546,6.333948632056943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,7,6.0,0.10698989898989897,0.10898989898989897,0.002,0.2157678221642057,,0.2157678221642057,,,,,,2340.0545760549103,5.877391898896397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,8,6.0,0.12213131313131287,0.12413131313131287,0.002,0.2811610627493925,,0.2811610627493925,,,,,,2193.0061414409165,5.506988924678251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,9,6.0,0.1372727272727272,0.13927272727272721,0.002,0.3551972930305825,,0.3551972930305825,,,,,,2070.6647538114144,5.198629066122461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,10,6.0,0.15241414141414134,0.15441414141414134,0.002,0.4378765130077725,,0.4378765130077725,,,,,,1966.8166814754597,4.936698614054518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,11,6.0,0.16755555555555546,0.16955555555555546,0.002,0.5291987226809637,,0.5291987226809637,,,,,,1877.2370700662138,4.71058199910444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,12,6.0,0.18269696969696958,0.18469696969696958,0.002,0.6291639220501561,,0.6291639220501561,,,,,,1798.9398196337756,4.512776633537356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,13,6.0,0.1978383838383837,0.1998383838383837,0.002,0.7377721111153495,,0.7377721111153495,,,,,,1729.7465782055197,4.337809748563607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,14,6.0,0.21297979797979782,0.21497979797979783,0.002,0.855023289876544,,0.855023289876544,,,,,,1668.0259014347,4.181582885172522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,15,6.0,0.22812121212121195,0.23012121212121195,0.002,0.9809174583337396,,0.9809174583337396,,,,,,1612.5284853034982,4.040957829119214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,16,6.0,0.2432626262626263,0.2452626262626263,0.002,1.115454616486938,,1.115454616486938,,,,,,1562.2792713849312,3.913485472643246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
