row_i,col_j,solenoid_length_m,ri,rf,th,a,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
2,19,10.0,1.0,1.0485146801465195,0.0485146801465197,0.3122210110224952,31.41592653589793,31.41592653589793,9.562845687541914,1.036795481399779,796.2826534405434,796.2826534405434,160.1149675750881,750.0000000000002,1046346.5629976155,1327.1377557342391,1.6666666666666667,True,0.2010780554910625,1046.3465629976156,418.53862519904624
4,12,10.0,0.65,0.7843864283409786,0.1343864283409785,0.6055798997528377,13.273228961416876,13.273228961416876,19.741110934794605,1.0087873317750442,585.0964521252384,585.0964521252384,118.09750804532158,749.9999999999999,2037199.0755647712,975.160753542064,1.6666666666666667,True,0.2018428032102356,2037.1990755647712,814.8796302259085
8,8,10.0,0.4499999999999999,0.7629024432593163,0.3129024432593164,1.1922976772135223,6.36172512351933,6.36172512351933,36.203351908053406,1.0350543013370035,417.29173917092834,417.29173917092834,92.76155046243449,750.0000000000001,4417348.454697566,695.4862319515472,1.6666666666666663,True,0.222294241066771,4417.348454697566,1766.9393818790263
11,7,10.0,0.3999999999999999,0.8243716938706547,0.4243716938706547,1.6323360103090363,5.026548245743668,5.026548245743668,44.71917367062208,0.9749896334109732,365.4775718740198,365.4775718740198,84.5067173651789,750.0000000000001,6290552.803777272,609.1292864566997,1.6666666666666663,True,0.2312227175305531,6290.552803777272,2516.2211215109087
15,6,10.0,0.35,0.9104102144751504,0.5604102144751505,2.219053787769721,3.848451000647496,3.848451000647496,54.93758452423437,1.0425810224501666,319.18482500046304,319.18482500046304,78.66639973431742,750.0000000000002,9115145.76235419,531.9747083341051,1.6666666666666667,True,0.2464603376247705,9115.14576235419,3646.058304941676
16,6,10.0,0.35,0.935700954291524,0.585700954291524,2.3657332321348923,3.848451000647496,3.848451000647496,56.16354407624906,0.9544870426189556,314.475794316045,314.475794316045,76.97699767939062,749.9999999999999,9651354.455656936,524.126323860075,1.6666666666666667,True,0.2447787685752039,9651.354455656936,3860.541782262774
24,5,10.0,0.3,1.102974348655989,0.802974348655989,3.539168787056262,2.827433388230814,2.827433388230814,71.02982915309181,1.0426460647711528,267.48251352589864,267.48251352589864,71.15284124296976,750.0000000000003,15690864.64245358,445.80418920983107,1.6666666666666667,True,0.2660093189085442,15690.86464245358,6276.345856981432
25,5,10.0,0.3,1.1239403591981572,0.8239403591981571,3.685848231421433,2.827433388230814,2.827433388230814,71.95116370779651,0.99025877384449,265.0679828793624,265.0679828793624,70.26564148615496,750.0000000000003,16284406.713837098,441.779971465604,1.6666666666666667,True,0.2650853593213264,16284.4067138371,6513.762685534839
39,59,2.0,1.5,1.7751107867073384,0.2751107867073383,2.830632488004164,14.137166941154067,14.137166941154067,18.593396961750507,1.0388790983770195,602.6602131460764,602.6602131460764,103.09040824596838,749.9999999999999,1614016.5022636591,1004.433688576794,1.6666666666666667,True,0.1710589250745522,1614.016502263659,3228.033004527318
40,58,2.0,1.476271186440678,1.761631064027163,0.2853598775864852,2.9027291640480613,13.693427131927686,13.693427131927686,19.088154646743213,1.0401875052393512,594.9484413105581,594.9484413105581,101.18106893130064,750.0,1645527.686340213,991.5807355175968,1.6666666666666667,True,0.1700669535471309,1645.527686340213,3291.055372680426
40,59,2.0,1.5,1.7815631871562985,0.2815631871562984,2.9027291640480613,14.137166941154067,14.137166941154067,18.810176397807172,0.9918100418195506,599.2543782056206,599.2543782056206,102.04379034946233,749.9999999999998,1647633.553908188,998.7572970093676,1.6666666666666667,True,0.1702845970938376,1647.633553908188,3295.267107816376
41,57,2.0,1.4525423728813558,1.7483694745653937,0.2958271016840379,2.974825840091959,13.25676290052496,13.25676290052496,19.593189356853383,1.043908474597397,587.2968089842336,587.2968089842336,99.34752442828083,750.0,1677411.8202661134,978.8280149737228,1.6666666666666667,True,0.1691606746512186,1677.4118202661134,3354.823640532227
41,58,2.0,1.476271186440678,1.7681326563612918,0.2918614699206139,2.974825840091959,13.693427131927686,13.693427131927686,19.304380650656995,0.9943606325800666,591.6457777704743,591.6457777704743,100.18824167601244,750.0000000000001,1679172.3550889257,986.0762962841238,1.6666666666666667,True,0.1693382179681165,1679.1723550889258,3358.3447101778515
42,57,2.0,1.4525423728813558,1.7549201988517409,0.3023778259703851,3.046922516135857,13.25676290052496,13.25676290052496,19.808934981260073,0.999167869880198,584.0936064884379,584.0936064884379,98.4050591378988,749.9999999999998,1711098.9691734144,973.4893441473964,1.6666666666666667,True,0.1684748095934632,1711.0989691734144,3422.197938346829
42,58,2.0,1.476271186440678,1.7746104291469156,0.2983392427062377,3.046922516135857,13.693427131927686,13.693427131927686,19.517432288742636,0.9516487615842284,588.4307697389721,588.4307697389721,99.23299963647943,749.9999999999999,1712777.308083415,980.7179495649536,1.6666666666666667,True,0.168640058847533,1712.777308083415,3425.55461616683
43,56,2.0,1.428813559322034,1.741930776859487,0.313117217537453,3.1190191921797545,12.827174246945894,12.827174246945894,20.32433078470188,1.0062508567013206,576.5946464547121,576.5946464547121,96.69087191942748,750.0000000000002,1743458.6965592303,960.9910774245202,1.6666666666666667,True,0.1676929754966463,1743.4586965592302,3486.9173931184605
43,57,2.0,1.4525423728813558,1.761446561518003,0.3089041886366472,3.1190191921797545,13.25676290052496,13.25676290052496,20.021566549115857,0.9573940983475347,580.9739853337993,580.9739853337993,97.49751475287896,750.0000000000001,1744751.7868310933,968.2899755563324,1.6666666666666667,True,0.1678173501983254,1744.751786831093,3489.5035736621867
44,55,2.0,1.4050847457627118,1.729169416682074,0.3240846709193621,3.1911158682236525,12.40466117119048,12.40466117119048,20.85107963060831,1.015649956978198,569.1458710817124,569.1458710817124,95.0426048106302,750.0,1776298.952393806,948.576451802854,1.6666666666666667,True,0.1669916442159077,1776.298952393806,3552.597904787612
