source_file,solenoid_length_m,function_type,param_a,param_b,param_c,sum_squared_error,rmse,x_fit_min,x_fit_max,n_points
thickness_grids_L10000mm.csv,10.0,Exponential,47.464327121963215,0.008366588244935903,-1.735049997906155,9.362575685011146,0.9676040349756271,174.1650030536248,339.789604741874,10
thickness_grids_L1000mm.csv,1.0,Power Law,56942734.51160665,2.3682929037693694,0.7146956712679896,3.749164563122902e-06,0.0009681379761070864,741.063304368739,1022.892031864922,4
thickness_grids_L1500mm.csv,1.5,Power Law,73779790.35840486,2.592023345466413,0.285668942280719,1.3025659070780804,0.31653969335226295,454.893660560205,1073.4766338603542,13
thickness_grids_L2000mm.csv,2.0,Power Law,15014939.104085147,2.455922534513221,-0.006780920332581723,0.9080141096124528,0.24603713942038002,332.2883138032316,830.796367461649,15
thickness_grids_L2500mm.csv,2.5,Power Law,759745611.7318327,3.235062808754857,0.5920807356345269,0.9255127082156552,0.24839655233995703,289.95862988215794,1017.1665403134864,15
thickness_grids_L3000mm.csv,3.0,Power Law,6010689185.978749,3.6637240032878893,0.6111302637375823,3.0381841850106364,0.4658467087703726,251.96782468503045,629.7365293167768,14
thickness_grids_L4000mm.csv,4.0,Power Law,28191541.23267762,2.7903338690895003,0.21411397718208214,3.3332100951755557,0.5063603228452698,211.23152587517689,750.3545798301902,13
thickness_grids_L5000mm.csv,5.0,Exponential,116.09317030056667,0.012959465510575627,0.6171336885308613,8.88391541632345,0.7965961253233953,190.00044892848263,855.5241764404307,14
thickness_grids_L6000mm.csv,6.0,Power Law,3927473825.152619,3.7771076930474443,0.69827324548331,5.099344303496893,0.6263044420368944,205.36809416816757,773.8728434280881,13
thickness_grids_L7000mm.csv,7.0,Exponential,136.3532448730202,0.015055555946744367,0.8826922911625714,6.390867990886787,0.6756408593162699,177.59203203887552,1254.123747756407,14
thickness_grids_L8000mm.csv,8.0,Power Law,8741660439.113941,3.9682110454959396,0.8214898860301089,4.80534166689431,0.6328073473877015,193.8999801566232,1603.350552320945,12
thickness_grids_L9000mm.csv,9.0,Power Law,3.4200248348188874e+29,12.370683151787354,1.574622344779911,2.928622518385685,0.4940160691031623,203.6063859220783,528.8255122508734,12
