source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
thickness_grids_L8000mm.csv,1,44,99,8.0,1.5,1.6003703703703704,0.1003703703703703,56.54866776461627,3.27709236249738,56.54866776461627,10.59689446420258,27.865350667184373,2071.744864418922,2084.2500869189626,3473.7501448649377,88.67360710750629,10.428420732178957,27.86535066718876,74.06304070966574,746.2499999986994,0.994999999998266,0.0992469557250181,0.0133694851889756,0.013450184501845,0.9074781365259044,9.0,18000.0,11.152263374485605,1243.046918651353,1250.5500521513777,1.0060360822970102,175321.8140213344,161.45722889365294,161.45722889365294,208.98371606030253,208.98371606030253,4.0,4972.187674605412,52.24592901507563,40.364307223413235,30.93561642038441,30.93561642038441,2.5000000000000004e+16,0.9007530442749818,0.0067250922509225,0.8940279520240593,9.97043518512429,63120.83166734389,43.0,0,1,1,mechanical,175.3218140213344,87.6609070106672
thickness_grids_L8000mm.csv,2,45,99,8.0,1.5,1.604892561983471,0.104892561983471,56.54866776461627,3.2935120660312363,56.54866776461627,10.387147555995629,26.802742078039543,2082.5246553687048,2082.524655369456,3470.87442561576,86.61930806419508,10.6437518754637,27.71561723737122,71.81088804430087,542.1994602469547,0.7229326136626062,0.1324436730563938,0.0128703120075591,0.0128703120075638,0.8739914829473882,9.0,18000.0,11.654729109274564,1249.5147932212226,1249.5147932216737,1.0000000000003608,175577.53793243156,163.57604849963,163.57604849963,209.5399828598088,209.5399828598088,4.0,4998.05917288489,52.3849957149522,40.8940121249075,30.894526667179505,30.894526667179505,2.4999999999999996e+16,0.8675563269436062,0.0064351560037819,0.8611211709398243,10.036133977564967,63626.322259971486,43.0,1,1,1,packing,175.57753793243157,87.78876896621578
thickness_grids_L8000mm.csv,3,48,94,8.0,1.4242929292929294,1.5433617998163454,0.119068870523416,50.98453894108769,3.62069336795198,50.98453894108769,10.044136870430709,25.81006712169095,2048.783693542197,2048.783693543616,3414.6394892393596,82.70487753641504,11.60202335706906,26.350875314811283,73.04277856625079,606.395469459258,0.8085272926123441,0.1204540308181809,0.0125977511452413,0.0125977511452501,0.885844844754444,10.0,20000.0,11.906887052341595,1229.270216125318,1229.270216126169,1.0000000000006926,186463.24590721412,175.48238805742034,175.48238805742034,232.2570004998205,232.2570004998205,4.0,4917.080864501272,58.06425012495512,43.87059701435509,29.344761986346516,29.344761986346516,2.5e+16,0.879545969181819,0.006298875572625,0.873247093609194,10.397654512390242,69987.10310664105,43.0,1,1,1,packing,186.46324590721412,93.23162295360706
thickness_grids_L8000mm.csv,4,48,95,8.0,1.4394343434343435,1.5585032139577597,0.119068870523416,52.07431673327074,3.6168907131607506,52.07431673327074,9.399854164721525,25.814920814665037,2049.168976035725,2049.1689760363506,3415.281626727251,82.34191035695467,11.536804354820903,26.076641331049093,73.71586750025034,671.2438482769406,0.8949917977025876,0.1098198034730245,0.0125977511452462,0.0125977511452501,0.8964790720996004,10.0,20000.0,11.906887052341595,1229.501385621435,1229.5013856218104,1.000000000000305,188365.9721244792,179.75141074981724,179.75141074981724,237.8177457658524,237.8177457658524,4.0,4918.00554248574,59.454436441463095,44.93785268745431,28.99965750235914,28.99965750235914,2.4999999999999996e+16,0.8901801965269754,0.006298875572625,0.8838813209543503,10.524275056277942,71556.09215249291,43.0,1,1,1,packing,188.3659721244792,94.1829860622396
thickness_grids_L8000mm.csv,5,48,96,8.0,1.4545757575757576,1.5736446280991736,0.119068870523416,53.17561851171512,3.611331441608842,53.17561851171512,8.820570984744036,25.807438185791565,2048.5750105900515,2049.732523449964,3416.2208724166067,81.9844613816099,11.47239260942136,25.807438185809684,74.31696397144857,746.2499999942162,0.9949999999922884,0.0995872214030479,0.0125906370175335,0.0125977511452501,0.906711654169577,10.0,20000.0,11.906887052341595,1229.1450063540308,1229.8395140699783,1.0005650331835196,190268.69834174428,183.90763109065716,183.90763109065716,243.45769381468224,243.45769381468224,4.0,4916.580025416123,60.864423453670554,45.97690777266429,28.66178579340625,28.66178579340625,2.5000000000000004e+16,0.900412778596952,0.006298875572625,0.8941139030243269,10.64611325523897,73109.73873633881,43.0,0,1,1,mechanical,190.26869834174428,95.13434917087214
thickness_grids_L8000mm.csv,6,49,96,8.0,1.4545757575757576,1.5785733088460363,0.1239975512702785,53.17561851171512,3.6124318954681103,53.17561851171512,8.809827865237832,24.794291359352343,2049.6209426943465,2049.62094269547,3416.0349044924506,80.21286054700339,11.686702058433005,25.672677465973628,71.65997547984374,536.2023711034699,0.7149364948046265,0.1336435259179703,0.0120970130831826,0.0120970130831893,0.8724049806236244,10.0,20000.0,12.399755127027868,1229.7725656166078,1229.772565617282,1.0000000000005482,190578.37648626897,184.64580714139151,184.64580714139151,244.1854852555473,244.1854852555473,4.0,4919.090262466431,61.046371313886816,46.161451785347886,28.619040892634608,28.619040892634608,2.5e+16,0.8663564740820296,0.0060485065415946,0.860307967540435,10.667608131332432,73375.54799760738,43.0,1,1,1,packing,190.57837648626895,95.28918824313448
thickness_grids_L8000mm.csv,7,48,97,8.0,1.4697171717171718,1.5887860422405875,0.119068870523416,54.28844427642083,3.5698583915919,54.28844427642083,8.621430243009922,25.543167443595305,2027.5973980662557,2053.947413195472,3423.2456886591203,81.6323958781225,11.408768865285628,25.543167443596406,73.43205429018418,746.2499999996407,0.994999999999521,0.0984014127842137,0.012436135063388,0.0125977511452501,0.9078974627884112,10.0,20000.0,11.906887052341595,1216.5584388397533,1232.3684479172832,1.012995684031922,192171.42455900935,184.39234845618745,184.39234845618745,249.1764189343281,249.1764189343281,4.0,4866.233755359013,62.294104733582024,46.09808711404686,28.330975453804555,28.330975453804555,2.5e+16,0.9015985872157862,0.006298875572625,0.8952997116431611,10.66023254452912,73938.09672898974,43.0,0,1,1,mechanical,192.17142455900935,96.08571227950468
thickness_grids_L8000mm.csv,8,49,97,8.0,1.4697171717171718,1.5937147229874502,0.1239975512702785,54.28844427642083,3.6085745422650577,54.28844427642083,8.257347289849292,24.799023415410403,2050.012118270125,2050.012118271042,3416.68686378507,79.86973210427495,11.622065802394298,25.411268403325717,72.30460621935062,586.0503452009086,0.7814004602678782,0.1233761003835998,0.0120970130831839,0.0120970130831893,0.8826724061579948,10.0,20000.0,12.399755127027843,1230.007270962075,1230.007270962625,1.0000000000004472,192481.10270353404,189.0483162049884,189.0483162049884,249.91219665912416,249.91219665912416,4.0,4920.0290838483,62.47804916478104,47.2620790512471,28.289239463197557,28.289239463197557,2.5e+16,0.8766238996164002,0.0060485065415946,0.8705753930748055,10.7949216937436,74986.401778636,43.0,1,1,1,packing,192.48110270353405,96.24055135176702
thickness_grids_L8000mm.csv,9,49,98,8.0,1.484858585858586,1.6088561371288643,0.1239975512702785,55.412794027387896,3.604692368053362,55.412794027387896,7.745241049454203,24.80378791849914,2050.4059760808104,2050.405976081022,3417.34329346837,79.53170679037493,11.55820786032868,25.154617406988883,72.94855213718787,645.088183467775,0.8601175779570335,0.113083069891377,0.012097013083188,0.0120970130831893,0.8929654366502177,10.0,20000.0,12.399755127027868,1230.2435856484865,1230.2435856486131,1.000000000000103,194383.82892079913,193.51386643039135,193.51386643039135,255.71715690099597,255.71715690099597,4.0,4920.974342593945,63.92928922524899,48.37846660759784,27.966303355446552,27.966303355446552,2.5e+16,0.8869169301086229,0.0060485065415946,0.8808684235670283,10.922552751362216,76616.83142644628,43.0,1,1,1,packing,194.38382892079915,97.19191446039956
thickness_grids_L8000mm.csv,10,49,99,8.0,1.5,1.6239975512702784,0.1239975512702785,56.54866776461627,3.600785691279204,56.54866776461627,7.270164538315472,24.808584517278845,2050.80248708288,2050.802487083387,3418.0041451389784,79.1986625405967,11.495110115855608,24.90262975102327,73.59181937289624,716.1115748124092,0.9548154330832124,0.1027658565526945,0.0120970130831863,0.0120970130831893,0.9032826499889,10.0,20000.0,12.399755127027843,1230.481492249728,1230.481492250032,1.0000000000002471,196286.5551380642,198.04221903894305,198.04221903894305,261.5999206342189,261.5999206342189,4.0,4921.925968998912,65.39998015855473,49.510554759735754,27.650067374788723,27.650067374788723,2.4999999999999996e+16,0.8972341434473055,0.0060485065415946,0.8911856369057107,11.05048367035516,78266.77784213301,43.0,0,1,1,mechanical,196.2865551380642,98.1432775690321
