row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
0,0,5.0,0.001,0.003,0.002,1.5707963267948964e-05,1.5707963267948964e-05,1,,,,,,,13152.739765241178,33.05642903729755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,1,5.0,0.016141414141414012,0.018141414141414014,0.002,0.004092635224251291,0.004092635224251291,1,,,,,,,5718.287423762047,14.371285615103798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,2,5.0,0.031282828282828135,0.033282828282828136,0.002,0.01537205389856889,0.01537205389856889,1,,,,,,,4229.067299779367,10.627919064879936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,3,5.0,0.04642424242424226,0.04842424242424226,0.002,0.033853963986220745,0.033853963986220745,1,,,,,,,3508.0211555723067,8.815032658556852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,4,5.0,0.0615656565656566,0.0635656565656566,0.002,0.05953836548720727,0.05953836548720727,1,,,,,,,3062.759681149534,7.695145035811577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,5,5.0,0.0767070707070705,0.0787070707070705,0.002,0.0924252584015272,0.0924252584015272,1,,,,,,,2753.039763219279,6.915803394075292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,6,5.0,0.09184848484848462,0.09384848484848463,0.002,0.13251464272918181,0.13251464272918181,1,,,,,,,2521.6693330398766,6.3332797623419665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,7,5.0,0.10698989898989897,0.10898989898989897,0.002,0.1798065184701714,0.1798065184701714,1,,,,,,,2340.3860775718117,5.876551663448336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,8,5.0,0.12213131313131287,0.12413131313131287,0.002,0.23430088562449378,0.23430088562449378,1,,,,,,,2193.409288420259,5.505964489703332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,9,5.0,0.1372727272727272,0.13927272727272721,0.002,0.2959977441921521,0.2959977441921521,1,,,,,,,2071.143780024738,5.19740831609907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,10,5.0,0.15241414141414134,0.15441414141414134,0.002,0.3648970941731438,0.3648970941731438,1,,,,,,,1967.375483423992,4.935270013181393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,11,5.0,0.16755555555555546,0.16955555555555546,0.002,0.4409989355674698,0.4409989355674698,1,,,,,,,1877.8792441185021,4.708934488367668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,12,5.0,0.18269696969696958,0.18469696969696958,0.002,0.5243032683751301,0.5243032683751301,1,,,,,,,1799.6686902679503,4.5108995520151876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,13,5.0,0.1978383838383837,0.1998383838383837,0.002,0.6148100925961245,0.6148100925961245,1,,,,,,,1730.565220109612,4.335692771976193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,14,5.0,0.21297979797979782,0.21497979797979783,0.002,0.7125194082304532,0.7125194082304532,1,,,,,,,1668.9371572349953,4.179215977117815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,15,5.0,0.22812121212121195,0.23012121212121195,0.002,0.8174312152781162,0.8174312152781162,1,,,,,,,1613.5349801121433,4.038331201933528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,16,5.0,0.2432626262626263,0.2452626262626263,0.002,0.9295455137391151,0.9295455137391151,1,,,,,,,1563.3834249865045,3.910589555761179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,17,5.0,0.2584040404040404,0.2604040404040404,0.002,1.0488623036134468,1.0488623036134468,1,,,,,,,1517.7086292068343,3.7940481483168966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,18,5.0,0.27354545454545454,0.27554545454545454,0.002,1.1753815849011127,1.1753815849011127,1,,,,,,,1475.8876146053767,3.6871431547374836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,19,5.0,0.28868686868686866,0.29068686868686866,0.002,1.3091033576021127,1.3091033576021127,1,,,,,,,1437.412441993609,3.588599747750843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,20,5.0,0.3038282828282828,0.3058282828282828,0.002,1.4500276217164472,1.4500276217164472,1,,,,,,,1401.8642533604652,3.497366876271355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,21,5.0,0.3189696969696969,0.3209696969696969,0.002,1.5981543772441156,1.5981543772441156,1,,,,,,,1368.8941320924596,3.412569176382765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,22,5.0,0.334111111111111,0.336111111111111,0.002,1.7534836241851188,1.7534836241851188,1,2.1050827775299945,6644446.905838564,845.0771786734778,1877.9492859410634,2216.07095745702,3693.4515957617004,1338.2087611018503,3.333470938307882,845.077178673907,299.09301674522715,746.2499999986753,0.9949999999982337,0.40079466230587346,0.38134030673964453,0.44999999999999957,0.8242053376941263,6.0,7500.0,0.33333333333333365,1126.7695715646382,1329.642574474212,1.180048350638244,15791.73907204469,0.06383058430597918,0.06383058430597918,0.10055150956198552,0.10055150956198552,4.0,4507.078286258553,0.02513787739049638,0.015957646076494796,1410.3298577504665,1410.3298577504665,2.4999999999999996e+16,0.5992053376941265,0.22499999999999978,0.3742053376941268,0.12473511256470905,113.04526575632175,42.0,0,1,1,mechanical,15.79173907204469,12.63339125763575
