source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
thickness_grids_L5000mm.csv,1,71,98,5.0,1.484858585858586,1.7429975512702789,0.2581389654116927,34.632996267117434,34.632996267117434,1,4.88685953144799,10.984702155246154,17.932094450579015,1928.7384621405104,1928.7384621416809,3214.564103569468,54.66390832733492,14.897024001957018,18.027570616841995,80.70899509776679,707.8201791628553,0.9437602388838072,0.1140247162679396,0.0092973178077587,0.0092973178077643,0.8906239426359425,16.0,20000.0,16.133685338230798,1157.243077284306,1157.2430772850084,1.0000000000006068,202812.1825449754,326.9116220432695,326.9116220432695,488.2150613221268,488.2150613221268,4.0,4628.972309137224,122.0537653305317,81.72790551081738,20.23994887875687,20.23994887875687,2.4999999999999996e+16,0.8859752837320604,0.0046486589038821,0.8813266248281781,14.219046445182814,103900.40216897232,43.0,0,1,1,mechanical,202.8121825449754,162.2497460359803
thickness_grids_L5000mm.csv,2,71,99,5.0,1.5,1.7581389654116928,0.2581389654116927,35.34291735288517,35.34291735288517,1,4.856759162091074,10.523180171037426,17.870920016027192,1922.158668288488,1931.4138492872096,3219.0230821453492,54.47277988870767,14.804004078793074,17.870920016034976,80.7227609294218,746.249999996665,0.9949999999955532,0.1081712039260067,0.0092527658029492,0.0092973178077643,0.8964774549778753,16.0,20000.0,16.133685338230798,1153.295200973093,1158.8483095723257,1.0048149932424475,204714.9087622405,331.24560884558406,331.24560884558406,498.0800600357297,498.0800600357297,4.0,4613.180803892372,124.52001500893242,82.81140221139601,20.038509739423663,20.038509739423663,2.5000000000000004e+16,0.8918287960739932,0.0046486589038821,0.887180137170111,14.31348517143101,105568.06145881316,43.0,0,1,1,mechanical,204.71490876224047,163.77192700979236
thickness_grids_L5000mm.csv,3,72,99,5.0,1.5,1.765404958677686,0.2654049586776859,35.34291735288517,35.34291735288517,1,4.87320263318007,10.381865492745645,17.4521349103226,1929.9513102964863,1929.951310297201,3216.585517162002,53.61722325382779,14.971669362343214,17.792390958527225,79.46021737806909,622.3436000915631,0.8297914667887508,0.1276790142396875,0.0090427850781557,0.009042785078159,0.8768423782993919,16.0,20000.0,16.58780991735537,1157.970786177892,1157.9707861783206,1.00000000000037,205171.44458355,335.0045641469074,335.0045641469074,499.6725753413791,499.6725753413791,4.0,4631.883144711568,124.91814383534478,83.75114103672685,20.006551711135742,20.006551711135742,2.5e+16,0.8723209857603125,0.0045213925390795,0.8677995932212329,14.394894698712122,106402.12166730915,43.0,1,1,1,packing,205.17144458355,164.13715566684002
thickness_grids_L5000mm.csv,4,75,96,5.0,1.4545757575757576,1.7423884297520662,0.2878126721763086,33.23476156982195,33.23476156982195,1,5.145626565151043,10.252103413024493,16.88763904059219,1906.0692231458004,1906.0692231460907,3176.782038576818,51.71381487469002,15.757085935156097,17.170261393188046,79.98084460222496,637.6498810964597,0.8501998414619464,0.1254306586942277,0.0088599295531974,0.0088599295531988,0.8789993060823716,17.0,21250.0,16.930157186841683,1143.64153388748,1143.6415338876543,1.0000000000001523,213425.63309984852,350.7764760289355,350.7764760289355,536.3899322042173,536.3899322042173,4.0,4574.566135549921,134.09748305105433,87.69411900723388,19.309662759705443,19.309662759705443,2.5000000000000004e+16,0.8745693413057722,0.0044299647765994,0.8701393765291728,14.731596419099317,113258.24257843998,43.0,1,1,1,packing,213.4256330998485,170.7405064798788
thickness_grids_L5000mm.csv,5,74,97,5.0,1.4697171717171718,1.7499589837771656,0.2802418120599939,33.93027767276302,33.93027767276302,1,5.061107037731395,10.22353592177353,17.09413651963232,1878.6242328873248,1913.409098448949,3189.0151640815816,52.3327542276089,15.494299488074745,17.094136519642895,80.02181835745861,746.249999995232,0.9949999999936426,0.1072319173976146,0.0089338639256441,0.0090992845830375,0.8973177248939042,17.0,21250.0,16.484812474117287,1127.1745397323946,1148.0454590693694,1.0185161380081649,214941.8578370838,346.54953117777484,346.54953117777484,545.5228801055731,545.5228801055731,4.0,4508.698158929578,136.38072002639328,86.63738279444371,19.147342801283344,19.147342801283344,2.5000000000000004e+16,0.8927680826023854,0.0045496422915187,0.8882184403108666,14.642114424577576,113373.52916448023,43.0,0,1,1,mechanical,214.9418578370838,171.95348626966705
thickness_grids_L5000mm.csv,6,75,97,5.0,1.4697171717171718,1.7575298438934803,0.2878126721763086,33.93027767276302,33.93027767276302,1,5.134168092181417,9.65390194348058,16.896423340919952,1907.06068704797,1907.0606870489223,3178.4344784148707,51.53398346228011,15.659179946934124,17.019481729025692,80.62382538340093,694.6980482676909,0.9262640643569212,0.1160559261458207,0.0088599295531943,0.0088599295531988,0.8883740386307787,17.0,21250.0,16.930157186841683,1144.2364122287818,1144.2364122293534,1.0000000000004996,215447.27970569264,358.33690670598077,358.33690670598077,547.381365010707,547.381365010707,4.0,4576.945648915127,136.84534125267675,89.58422667649519,19.11481036039763,19.11481036039763,2.5000000000000004e+16,0.8839440738541793,0.0044299647765994,0.8795141090775799,14.890312114728449,115556.61053672573,43.0,0,1,1,mechanical,215.4472797056927,172.35782376455413
thickness_grids_L5000mm.csv,7,75,98,5.0,1.484858585858586,1.7726712580348944,0.2878126721763086,34.632996267117434,34.632996267117434,1,5.112485334306906,9.170212678755885,16.87156839391351,1904.255365983372,1908.9399211200723,3181.566535200121,51.35647708100638,15.562230479593897,16.871568393920963,80.94345310619187,746.2499999966302,0.9949999999955068,0.1084669388362578,0.0088381872091679,0.0088599295531988,0.8959630259403416,17.0,21250.0,16.930157186841683,1142.5532195900232,1145.3639526720435,1.0024600456537411,217468.92631153684,364.5162293749289,364.5162293749289,558.4624637747048,558.4624637747048,4.0,4570.212878360093,139.6156159436762,91.12905734373224,18.92422068104866,18.92422068104866,2.5000000000000004e+16,0.8915330611637422,0.0044299647765994,0.8871030963871428,15.018794862768294,117642.34004177753,43.0,0,1,1,mechanical,217.46892631153685,173.97514104922948
thickness_grids_L5000mm.csv,8,76,98,5.0,1.484858585858586,1.7803437404346496,0.2954851545760637,34.632996267117434,34.632996267117434,1,5.1197657127786185,9.118163150248655,16.468463993246438,1908.3084818332404,1908.308481834643,3180.5141363910725,50.58155889170611,15.724947452224374,16.79812797117882,79.50291139205204,619.6919538483552,0.8262559384644735,0.128294245065359,0.0086298751748007,0.008629875174807,0.8760206925220445,17.0,21250.0,17.381479680944924,1144.9850890999444,1144.985089100786,1.000000000000735,217981.13236630152,367.3104626140995,367.3104626140995,560.3554920619073,560.3554920619073,4.0,4579.940356399778,140.08887301547682,91.82761565352487,18.89222814008061,18.89222814008061,2.4999999999999996e+16,0.871705754934641,0.0043149375874035,0.8673908173472374,15.076535867159215,118370.52220356604,43.0,1,1,1,packing,217.98113236630152,174.3849058930412
thickness_grids_L5000mm.csv,9,75,99,5.0,1.5,1.7878126721763086,0.2878126721763086,35.34291735288517,35.34291735288517,1,5.054486271819055,8.970676457489756,16.726444342699942,1887.875545992459,1913.986679082156,3189.9777984702605,51.181243958260744,15.466221610605196,16.726444342704877,80.10264347677169,746.2499999977284,0.9949999999969712,0.1073402257648449,0.0087390599555902,0.0088599295531988,0.8970897390117545,17.0,21250.0,16.930157186841683,1132.7253275954752,1148.3920074492935,1.0138309610213054,219490.57291738095,365.4381575488135,365.4381575488135,569.6323764409934,569.6323764409934,4.0,4530.901310381901,142.40809411024836,91.35953938720336,18.7377596991322,18.7377596991322,2.5e+16,0.8926597742351551,0.0044299647765994,0.8882298094585557,15.037870292171784,118886.03090935788,43.0,0,1,1,mechanical,219.49057291738097,175.59245833390477
thickness_grids_L5000mm.csv,10,76,99,5.0,1.5,1.7954851545760635,0.2954851545760637,35.34291735288517,35.34291735288517,1,5.108259400863885,8.598872450994566,16.47707808936606,1909.30665341106,1909.306653412696,3182.177755687827,50.41005453483024,15.628234179565936,16.65446523474619,80.1285582835295,672.3212877981616,0.8964283837308822,0.1191819443140776,0.0086298751747996,0.008629875174807,0.8851329932733258,17.0,21250.0,17.381479680944924,1145.583992046636,1145.5839920476176,1.0000000000008569,220002.7789721457,375.02989637905006,375.02989637905006,571.5339231824657,571.5339231824657,4.0,4582.335968186544,142.88348079561644,93.75747409476251,18.70656259031249,18.70656259031249,2.4999999999999996e+16,0.8808180556859223,0.0043149375874035,0.8765031180985188,15.234921137514272,120717.19102813562,43.0,1,1,1,packing,220.0027789721457,176.00222317771656
