source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
thickness_grids_L8000mm.csv,1,12,98,8.0,1.484858585858586,1.4941753902662993,0.0093168044077135,55.412794027387896,3.30224056835265,55.412794027387896,10.996967280904292,300.9748144134866,2081.608710852059,2081.608710852059,3469.347851420099,750.0,0.144587603253394,168097.82828220684,1,168.09782828220685,84.04891414110342
thickness_grids_L8000mm.csv,2,12,99,8.0,1.5,1.5093168044077134,0.0093168044077135,56.54866776461627,3.2830430602470675,56.54866776461627,10.520273262119652,299.5971735704076,2083.6244082332023,2083.6244082332023,3472.7073470553373,750.0000000000001,0.1437865540385224,168865.82784732443,1,168.86582784732445,84.43291392366221
thickness_grids_L8000mm.csv,3,13,94,8.0,1.4242929292929294,1.4348800122436487,0.0105870829507193,50.98453894108769,3.6030639920934022,50.98453894108769,10.242163546680308,287.60000397751134,2050.5712288757804,2050.5712288757804,3417.6187147929677,750.0000000000001,0.1402536034484338,177835.8759339482,1,177.83587593394822,88.91793796697411
thickness_grids_L8000mm.csv,4,13,95,8.0,1.4394343434343435,1.4500214263850628,0.0105870829507193,52.07431673327074,3.581494385303915,52.07431673327074,9.776998823712434,286.22285630656285,2052.762936990563,2052.762936990563,3421.2715616509386,749.9999999999999,0.1394329813486294,178667.882179753,1,178.667882179753,89.3339410898765
thickness_grids_L8000mm.csv,5,13,96,8.0,1.4545757575757576,1.465162840526477,0.0105870829507193,53.17561851171512,3.560218222534876,53.17561851171512,9.338123654834543,284.8682281010716,2054.9298605033487,2054.9298605033487,3424.8831008389147,750.0000000000002,0.1386267402972547,179496.46810723722,1,179.4964681072372,89.7482340536186
thickness_grids_L8000mm.csv,6,13,97,8.0,1.4697171717171718,1.480304254667891,0.0105870829507193,54.28844427642083,3.539227914002275,54.28844427642083,8.923786103805671,283.5355280803716,2057.0725857124585,2057.0725857124585,3428.454309520764,750.0,0.1378344789822622,180321.68809359448,1,180.32168809359447,90.16084404679724
thickness_grids_L8000mm.csv,7,13,98,8.0,1.484858585858586,1.4954456688093052,0.0105870829507193,55.412794027387896,3.5185161467230377,55.412794027387896,8.532367900726525,282.2241859624259,2059.1916790531486,2059.1916790531486,3431.9861317552477,750.0,0.137055811187134,181143.59490967597,1,181.143594909676,90.571797454838
thickness_grids_L8000mm.csv,8,13,99,8.0,1.5,1.5105870829507193,0.0105870829507193,56.54866776461627,3.4980758719771345,56.54866776461627,8.162372994508681,280.9336515213632,2061.287687929112,2061.287687929112,3435.4794798818534,749.9999999999998,0.1362903650793185,181962.23978363012,1,181.9622397836301,90.98111989181506
thickness_grids_L8000mm.csv,9,14,94,8.0,1.4242929292929294,1.436251913070095,0.0119589837771655,50.98453894108769,3.827389961649871,50.98453894108769,8.043938736102813,270.4738558367565,2028.0773064225823,2028.077306422582,3380.128844037637,750.0,0.1333646675993124,191105.1686275092,1,191.1051686275092,95.5525843137546
thickness_grids_L8000mm.csv,10,14,95,8.0,1.4394343434343435,1.4513933272115092,0.0119589837771655,52.07431673327074,3.804496036543143,52.07431673327074,7.678459847126472,269.1801504908726,2030.3481801650412,2030.3481801650412,3383.913633608402,749.9999999999999,0.1325783198766389,191989.55419593595,1,191.98955419593597,95.99477709796798
