row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
0,0,7.0,0.001,0.003,0.002,2.199114857512855e-05,2.215863850739455,2.199114857512855e-05,1.1808895062108434e+23,881.6643686000466,2202.832180848544,2202.832180848544,3671.3869680809066,3.3700431499436987,0.4002412785981837,117.3568723140277,1,0.1173568723140277,0.06706106989373012
0,1,7.0,0.016141414141414012,0.018141414141414014,0.002,0.005729689313951808,3.4114737693506982,0.005729689313951808,186067078556629.7,1357.3985814823664,2070.2202248866906,2070.2202248866906,3450.367041477818,42.261906875317166,0.6556783501410633,1647.760718263562,1,1.647760718263562,0.941577553293464
0,2,7.0,0.031282828282828135,0.033282828282828136,0.002,0.021520875457996445,3.852674281365392,0.021520875457996445,1388755013990.7783,1532.9956172618106,2025.5757822313462,2025.575782231346,3375.9596370522436,98.55340400266503,0.7568196809566334,3581.9593009428722,1,3.5819593009428723,2.04683388625307
0,3,7.0,0.04642424242424226,0.04842424242424226,0.002,0.04739554958070904,4.115102816638252,0.04739554958070904,76776201488.23373,1637.4977075968093,2000.0056155077687,2000.0056155077687,3333.342692512948,163.43177420629524,0.8187465549595847,5692.545902432956,1,5.692545902432956,3.252883372818832
0,4,7.0,0.0615656565656566,0.0635656565656566,0.002,0.08335371168209019,4.297729904626103,0.08335371168209019,9828825947.259768,1710.28561281149,1982.6238827126617,1982.6238827126617,3304.373137854436,233.9048364353631,0.8626374511697329,7912.632018300395,1,7.912632018300395,4.5215040104573685
0,5,7.0,0.0767070707070705,0.0787070707070705,0.002,0.12939536176213806,4.435554181939818,0.12939536176213806,1999957088.0668116,1765.2858776209969,1969.7237006755101,1969.7237006755101,3282.8728344591837,308.43869573851504,0.896209898380975,10210.027874358737,1,10.210027874358737,5.834301642490707
0,6,7.0,0.09184848484848462,0.09384848484848463,0.002,0.18552049982085453,4.544912177125355,0.18552049982085453,545924930.7927256,1808.9993205553913,1959.6179650457748,1959.6179650457748,3266.0299417429583,386.10720591646736,0.9231387713436965,12566.040821881137,1,12.566040821881137,7.18059475536065
0,7,7.0,0.10698989898989897,0.10898989898989897,0.002,0.25172912585824,4.6347012879720095,0.25172912585824,182533553.73437908,1844.9666382470223,1951.4050820589546,1951.4050820589546,3252.341803431591,466.2948804429432,0.9454554849782252,14968.58935850644,1,14.96858935850644,8.553479633432252
0,8,7.0,0.12213131313131287,0.12413131313131287,0.002,0.32802123987429127,4.710277434983138,0.32802123987429127,70797092.94398762,1875.3192947446657,1944.5504491486215,1944.5504491486215,3240.9174152477026,548.5655200610445,0.9643973472458547,17409.294491662138,1,17.409294491662138,9.948168280949794
0,9,7.0,0.1372727272727272,0.13927272727272721,0.002,0.41439684186901293,4.775101137031592,0.41439684186901293,30753143.040584687,1901.4345096466132,1938.7129280975355,1938.7129280975355,3231.188213495893,632.5952505555531,0.9807715634890289,19882.044795765134,1,19.882044795765133,11.361168454722934
0,10,7.0,0.15241414141414134,0.15441414141414134,0.002,0.5108559318424013,4.831529784578995,0.5108559318424013,14606331.374240266,1924.2505155084332,1933.6625654401537,1933.6625654401537,3222.7709424002564,718.1349080289132,0.9951325272051393,22382.210170378537,1,22.38221017037854,12.78983438307345
0,11,7.0,0.16755555555555546,0.16955555555555546,0.002,0.6173985097944577,4.7115736133699135,0.6173985097944577,8589978.613382772,1876.8482751735298,1944.4333479421198,1944.4333479421198,3240.7222465702,750.0000000000002,0.9652417642188054,23852.60573896008,1,23.85260573896008,13.630060422262902
0,12,7.0,0.18269696969696958,0.18469696969696958,0.002,0.7340245757251821,4.513906065702111,0.7340245757251821,5727466.066951045,1798.498200599236,1962.4716759836028,1962.4716759836028,3270.7861266393384,750.0,0.9164454308354885,24681.14230628206,1,24.681142306282062,14.103509889304036
