row_i,col_j,ri,th,rf,v,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
0,0,0.01,0.002,0.012,0.0015707963267948964,1.444355235617595,4.502077075531807e+17,4.150287522700012,1149.3998810540656,574.6999405270328,574.696266625895,2.0000127855402976,True
0,1,0.03525423728813559,0.002,0.037254237288135594,0.01952281881139167,1.4442278031196378,101272308878321.61,14.628940409488724,1149.4081854851813,574.7040927425907,574.70041983083,2.0000127820047937,True
0,2,0.06050847457627119,0.002,0.06250847457627119,0.05751118099789797,1.4439642727273636,2765509691849.922,25.09916333574225,1149.4253594642114,574.7126797321057,574.7090088659194,2.000012774695123,True
0,3,0.08576271186440677,0.002,0.08776271186440678,0.11553588288631372,1.4435648749679162,270628634673.99564,35.5550474238994,1149.4513888366637,574.7256944183318,574.7220266511739,2.000012763621326,True
0,4,0.11101694915254237,0.002,0.11301694915254237,0.19359692447663904,1.4430299587729074,48500441645.01859,45.990711476773605,1149.486252176032,574.743126088016,574.7394624691896,2.0000127487985973,True
0,5,0.13627118644067798,0.002,0.13827118644067798,0.2916943057688739,1.4423599906200877,12391410859.193632,56.40031322332675,1149.529920834179,574.7649604170895,574.7613019903517,2.000012730247235,True
0,6,0.16152542372881357,0.002,0.16352542372881357,0.4098280267630182,1.4415555533921443,3998013092.4231167,66.77806040571743,1149.5823590083103,574.7911795041551,574.7875273063405,2.000012707992575,True
0,7,0.18677966101694918,0.002,0.18877966101694918,0.5479980874590721,1.4406173449590292,1521892217.0300179,77.11822166357432,1149.6435238241822,574.8217619120911,574.8181169717529,2.0000126820649196,True
0,8,0.21203389830508476,0.002,0.21403389830508476,0.7062044878570355,1.4395461764818966,655397254.1967258,87.41513717179649,1149.7133654357162,574.8566827178581,574.8530460539363,2.0000126524994406,True
0,9,0.23728813559322035,0.002,0.23928813559322035,0.8844472279569082,1.4383429704562354,310564891.4664107,97.66322899136445,1149.7918271399485,574.8959135699743,574.8922861904916,2.000012619336073,True
0,10,0.26254237288135596,0.002,0.26454237288135596,1.0827263077586906,1.4370087584956888,158833450.73931774,107.85701109312379,1149.8788455072959,574.9394227536479,574.9358056544387,2.000012582619394,True
0,11,0.28779661016949154,0.002,0.28979661016949154,1.3010417272623824,1.4355446788761155,86457828.3399199,117.99109901862566,1149.9743505259523,574.9871752629762,574.9835694264501,2.0000125423984887,True
0,12,0.3130508474576271,0.002,0.3150508474576271,1.539393486467984,1.433951973840777,49568375.89843226,128.06021914209276,1150.0782657604539,575.0391328802269,575.035539274172,2.0000124987268073,True
0,13,0.3383050847457627,0.002,0.3403050847457627,1.7977815853754948,1.432231986687098,29693771.489467192,138.0592175026202,1150.1905085231851,575.0952542615926,575.0916738380217,2.000012451662,True
0,14,0.36355932203389835,0.002,0.36555932203389835,2.0762060239849154,1.430386158644581,18469731.313442722,147.98306817704665,1150.3109900583142,575.1554950291571,575.1519287231979,2.0000124012657565,True
0,15,0.38881355932203393,0.002,0.39081355932203393,2.374666802296245,1.428416025557862,11869000.205616117,157.8268811672972,1150.4396157373599,575.2198078686799,575.2162565975137,2.0000123476036205,True
0,16,0.4140677966101695,0.002,0.4160677966101695,2.6931639203094844,1.4263232143910276,7848033.248315886,167.58590977944272,1150.5762852654618,575.2881426327309,575.2846072945821,2.0000122907448037,True
0,17,0.4393220338983051,0.002,0.4413220338983051,3.0316973780246337,1.4241094395696596,5321682.681326126,177.2555574750153,1150.7208928974064,575.3604464487032,575.3569279218812,2.000012230761989,True
0,18,0.4645762711864407,0.002,0.4665762711864407,3.390267175441691,1.42177649917072,3690372.3500235793,186.83138417671228,1150.8733276628748,575.4366638314374,575.4331629734322,2.0000121677311298,True
0,19,0.4898305084745763,0.002,0.4918305084745763,3.7688733125606606,1.419326270981884,2611005.7781764828,196.30911201636107,1151.033473599636,575.516736799818,575.5132544464536,2.000012101731237,True
0,20,0.5150847457627119,0.002,0.5170847457627119,4.167515789381538,1.4167607084452303,1881041.6023298549,205.684630514898,1151.201209993839,575.6006049969195,575.5971419615643,2.000012032844164,True
0,21,0.5403389830508475,0.002,0.5423389830508475,4.586194605904325,1.414081836502084,1377533.4595905999,214.95400118774378,1151.376411626439,575.6882058132195,575.6847628860556,2.000011961154388,True
0,22,0.5655932203389831,0.002,0.5675932203389831,5.02490976212902,1.411291747350989,1023954.1205752054,224.11346157065452,1151.5589490251077,575.7794745125539,575.7760524599066,2.0000118867487893,True
0,23,0.5908474576271187,0.002,0.5928474576271187,5.483661258055626,1.4083925961404786,771575.2088677334,233.15942866699186,1151.7486887203338,575.8743443601669,575.8709439238953,2.0000118097164217,True
0,24,0.6161016949152542,0.002,0.6181016949152542,5.9624490936841426,1.4053865966150243,588721.30570895,242.08850181987367,1151.9454935046401,575.9727467523201,575.9693686492678,2.0000117301482896,True
0,25,0.6413559322033898,0.002,0.6433559322033898,6.461273269014567,1.4022760167184913,454409.6442545267,250.8974650108487,1152.149222694755,576.0746113473775,576.071256268885,2.000011648137122,True
0,26,0.6666101694915254,0.002,0.6686101694915254,6.980133784046901,1.3990631741843722,354497.74163977825,259.58328859763327,1152.3597323949377,576.1798661974689,576.176534808947,2.000011563777143,True
0,27,0.6918644067796611,0.002,0.6938644067796611,7.519030638781147,1.3957504321209906,279300.2538792154,268.1431304995577,1152.5768757610297,576.2884378805148,576.2851308210808,2.0000114771638455,True
0,28,0.7171186440677967,0.002,0.7191186440677967,8.0779638332173,1.392340194605511,222085.80730211118,276.57433684348524,1152.8005032644417,576.4002516322208,576.396969514391,2.000011388393775,True
0,29,0.7423728813559323,0.002,0.7443728813559323,8.656933367355364,1.3888349023010655,178111.731364056,284.8744420855349,1153.0304629552227,576.5152314776113,576.5119748870574,2.000011297564303,True
0,30,0.7676271186440679,0.002,0.7696271186440679,9.255939241195335,1.3852370281210777,143993.8392266096,293.0411686304026,1153.266600722738,576.633300361369,576.6300698567303,2.0000112047734158,True
0,31,0.7928813559322034,0.002,0.7948813559322034,9.874981454737217,1.3815490729307343,117288.57343270007,301.0724259584119,1153.5087605546926,576.7543802773463,576.7511763901013,2.0000111101194977,True
0,32,0.818135593220339,0.002,0.820135593220339,10.51406000798101,1.3777735613236846,96211.95472664252,308.9663092916232,1153.7567847920839,576.8783923960419,576.8752156304346,2.0000110137011307,True
0,33,0.8433898305084746,0.002,0.8453898305084746,11.17317490092671,1.3739130374659752,79447.99841728726,316.72109781350497,1154.010514380672,577.005257190336,577.0021080233579,2.0000109156168904,True
0,34,0.8686440677966102,0.002,0.8706440677966102,11.85232613357432,1.3699700610299066,66016.47232442933,324.335252470821,1154.2697891175494,577.1348945587747,577.1317734401995,2.0000108159651533,True
0,35,0.8938983050847458,0.002,0.8958983050847458,12.55151370592384,1.3659472032186064,55180.53762435128,331.8074133783637,1154.5344478928007,577.2672239464003,577.2641312988704,2.000010714843907,True
0,36,0.9191525423728814,0.002,0.9211525423728814,13.270737617975268,1.3618470428948928,46381.52872871312,339.1363968538519,1154.8043289254153,577.4021644627077,577.3991006818687,2.0000106123505748,True
0,37,0.9444067796610169,0.002,0.9464067796610169,14.009997869728608,1.357672162824054,39192.41675866669,346.32119210978055,1155.0792699928554,577.5396349964277,577.5366004511123,2.000010508581839,True
0,38,0.9696610169491526,0.002,0.9716610169491526,14.76929446118386,1.3534251460338786,33284.27745536601,353.36095762672295,1155.3591086540857,577.6795543270429,577.6765493594982,2.00001040363348,True
0,39,0.9949152542372882,0.002,0.9969152542372882,15.548627392341016,1.3491085723014036,28401.904838155748,360.2550172361458,1155.643682465473,577.8218412327365,577.8188661588948,2.00001029760022,True
0,40,1.0201694915254238,0.002,1.0221694915254238,16.347996663200085,1.3447250147665724,24345.92013708265,367.00285593653547,1155.9328291895497,577.9664145947748,577.9634697045666,2.000010190575573,True
0,41,1.0454237288135593,0.002,1.0474237288135593,17.167402273761056,1.3402770366876815,20959.536586211038,373.6041154746461,1156.2263869956769,578.1131934978384,578.110279055541,2.000010082651712,True
0,42,1.070677966101695,0.002,1.072677966101695,18.006844224023947,1.3357671883322995,18118.691026254666,380.0585897127586,1156.5241946530168,578.2620973265084,578.2592135711333,2.000009973919334,True
0,43,1.0959322033898307,0.002,1.0979322033898307,18.86632251398875,1.3311980040116078,15724.630556389386,386.3662198101937,1156.826091715294,578.413045857647,578.410193003359,2.000009864467544,True
0,44,1.1211864406779661,0.002,1.1231864406779661,19.74583714365545,1.3265719992624698,13698.303645357735,392.52708924551536,1157.1319186970384,578.5659593485192,578.5631375850884,2.0000097543837394,True
0,45,1.1464406779661018,0.002,1.1484406779661018,20.64538811302407,1.321891668171146,11976.087573542904,398.5414186995449,1157.4415172417096,578.7207586208548,578.7179681141353,2.000009643753515,True
0,46,1.1716949152542373,0.002,1.1736949152542373,21.56497542209459,1.3171594808539628,10506.51267274975,404.4095608313902,1157.7547302806531,578.8773651403266,578.8746060327643,2.0000095326605574,True
0,47,1.196949152542373,0.002,1.198949152542373,22.50459907086703,1.3123778810769786,9247.735225301303,410.1319949597402,1158.0714021840606,579.0357010920303,579.0329735031922,2.0000094211865744,True
0,48,1.2222033898305085,0.002,1.2242033898305085,23.464259059341366,1.3075492840304879,8165.576355946884,415.709321681001,1158.3913789028504,579.1956894514252,579.1929934785516,2.0000093094112117,True
0,49,1.2474576271186442,0.002,1.2494576271186442,24.443955387517626,1.3026760742494827,7231.991514092978,421.1422574406483,1158.7145081020137,579.3572540510069,579.3545897695827,2.0000091974119862,True
0,50,1.2727118644067796,0.002,1.2747118644067796,25.443688055395782,1.2977606036802802,6423.869510209518,426.43162907874375,1159.0406392853881,579.5203196426941,579.5176871070383,2.0000090852642267,True
0,51,1.2979661016949153,0.002,1.2999661016949153,26.46345706297586,1.2928051898897583,5722.085234482065,431.5783683674174,1159.3696239120384,579.6848119560192,579.6822111998862,2.000008973041031,True
0,52,1.3232203389830508,0.002,1.3252203389830508,27.503262410257832,1.287812114422745,5110.748734685957,436.5835065633272,1159.7013155038342,579.8506577519171,579.8480887891147,2.0000088608132094,True
0,53,1.3484745762711865,0.002,1.3504745762711865,28.56310409724173,1.282783621292422,4576.60709139458,441.4481689836617,1160.0355697451917,580.0177848725958,580.0152476976106,2.000008748649265,True
0,54,1.3737288135593222,0.002,1.3757288135593222,29.642982123927535,1.2777219156115784,4108.56579950374,446.1735696283622,1160.3722445743952,580.1861222871976,580.1836168758294,2.0000086366153584,True
0,55,1.3989830508474577,0.002,1.4009830508474577,30.74289649031524,1.2726291623575277,3697.304077494514,450.7610058605706,1160.711200266932,580.355600133466,580.3531264434714,2.0000085247752857,True
