conductor_length_m,n_pancakes,thickness_m,scan_bin,scan_yr_mid,pancake_length_p60_m,rebco_total_km,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
1.0,250,0.004,6.0,6.0,6178.437323873738,1544.6093309684345,59,59,1.0,1.5,1.8,0.3,3.110176727053896,0.622035345410779,7.0685834705770345,7.0685834705770345,19.41625912555699,6.034643652989292,177.20086697091145,294.97634947540865,750.0,6220.353454107799,1555088.3635269497,589.9526989508173,3.329287881236278,True
1.0,250,0.004,7.0,7.0,6010.772802937512,1502.693200734378,57,58,1.0,1.4747457627118643,1.7696099197355415,0.2948641570236769,3.0053864014687517,0.6010772802937502,6.832571525537966,6.832571525537966,19.413461331581612,6.761805085233962,177.4825489891084,294.99745432986623,750.0,6010.772802937512,1502693.200734378,589.9949086597325,3.3242418030402456,True
1.0,250,0.004,8.0,8.0,5780.234086650188,1445.058521662547,55,56,1.0,1.4242372881355934,1.718062938223012,0.2938256500874188,2.900596075883608,0.5801192151767215,6.372569439280972,6.372569439280972,19.719878665334697,8.012283263122624,175.7144639633641,292.70558545247144,750.0,5801.192151767217,1450298.0379418044,585.4111709049429,3.331604910037453,True
1.0,250,0.004,9.0,9.0,5696.401826182064,1424.100456545516,54,54,1.0,1.3737288135593222,1.67144888096456,0.2977200674052378,2.848200913091036,0.569640182618207,5.928596424785507,5.928596424785507,20.21175904250789,9.236322655946594,172.73013155622587,289.107221278,749.9999999999998,5696.401826182064,1424100.456545516,578.214442556,3.347501894119636,True
1.0,250,0.004,10.0,10.0,5591.611500596926,1397.9028751492315,53,53,1.0,1.3484745762711865,1.645696294283744,0.2972217180125576,2.7958057502984643,0.5591611500596927,5.712620819448346,5.712620819448346,20.38306316076004,10.105536497039264,171.84087815998456,287.8767496623415,750.0000000000001,5591.611500596926,1397902.8751492314,575.753499324683,3.3505037072066997,True
1.0,250,0.004,11.0,11.0,5507.779240128804,1376.944810032201,52,52,1.0,1.3232203389830508,1.6199280161052918,0.296707677122241,2.7434105875058923,0.5486821175011783,5.500652482051566,5.500652482051566,20.558852441475096,11.075899299741602,170.95423282578716,286.62597126825324,750.0000000000005,5486.821175011773,1371705.2937529434,573.2519425365065,3.3532480188465725,True
1.0,250,0.004,12.0,12.0,5319.156654075547,1329.7891635188867,50,52,1.0,1.3232203389830508,1.6095996336830651,0.2863792947000143,2.6386202619207486,0.5277240523841497,5.500652482051566,5.500652482051566,20.197856635906938,11.889219232387784,173.49077423445337,289.20758950845976,749.9999999999999,5277.240523841483,1319310.1309603709,578.4151790169195,3.3339823490282896,True
1.0,250,0.004,13.0,13.0,5465.863109894746,1366.4657774736866,52,49,1.0,1.2474576271186442,1.5586549468438755,0.3111973197252315,2.7434105875058923,0.5486821175011783,4.888791077503525,4.888791077503525,21.68480814539889,13.257487920802433,164.68735871440236,278.8892399555824,749.9999999999998,5486.821175011775,1371705.293752944,557.7784799111648,3.386893106218635,True
1.0,250,0.004,14.0,14.0,5277.240523841502,1319.3101309603755,50,49,1.0,1.2474576271186442,1.5479177777616986,0.3004601506430544,2.6386202619207486,0.5277240523841497,4.888791077503525,4.888791077503525,21.30743147981986,14.221950885059783,167.06706037051637,281.4306890083736,750.0000000000003,5277.240523841502,1319310.1309603755,562.8613780167472,3.3690745307210763,True
1.0,250,0.004,15.0,15.0,5046.701807554176,1261.675451888544,47,50,1.0,1.2727118644067796,1.552308187874033,0.2795963234672534,2.481434773543033,0.4962869547086064,5.088737611079156,5.088737611079156,20.34938288659803,14.957189744105689,173.14672639739388,288.1177638112037,750.0000000000001,4962.8695470860575,1240717.3867715143,576.2355276224074,3.328018609487731,True
2.0,500,0.004,1.0,1.0,5382.030849426644,2691.015424713322,51,51,2.0,1.297966101694915,1.5941432855011552,0.2961771838062399,2.69101542471332,0.5382030849426639,10.585382825190344,10.585382825190344,20.739328278732568,1.2065755738096402,97.84988112707568,285.3542134918534,749.9999999999998,5382.030849426642,2691015.424713321,570.7084269837068,5.83248973233334,True
2.0,500,0.004,2.0,2.0,4858.07922150092,2429.03961075046,46,46,2.0,1.1716949152542373,1.4649424208707087,0.2932475056164714,2.429039610750461,0.485807922150092,8.625990168837836,8.625990168837836,21.72003157440006,1.9843434030891272,97.4131968499228,278.6545986202003,750.0000000000001,4858.079221500921,2429039.6107504605,557.3091972404006,5.721085184166629,True
2.0,500,0.004,3.0,3.0,4543.708244745487,2271.8541223727434,43,42,2.0,1.070677966101695,1.3672984071570866,0.2966204410553916,2.271854122372745,0.4543708244745489,7.202737689609579,7.202737689609579,22.85186591176174,2.9539955652476864,96.54943282769815,271.3391197096988,750.0,4543.708244745489,2271854.122372744,542.6782394193976,5.62072943906216,True
2.0,500,0.004,4.0,4.0,4334.127593575198,2167.063796787599,41,39,2.0,0.9949152542372882,1.2960147351101077,0.3010994808728194,2.1670637967876014,0.4334127593575201,6.219450956936407,6.219450956936407,23.88430014219678,4.037677222060117,95.87375743640207,265.02416500484355,750.0000000000001,4334.127593575196,2167063.796787598,530.0483300096871,5.528607036824389,True
