row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
0,0,3.0,0.01,0.07812809993849779,0.06812809993849779,0.018862122292152797,0.0037724244584305586,0.0009424777960769379,0.0009424777960769379,23.091128956162997,6.216584786927536e-18,269.8568990878265,269.8463248778205,31.140400718866324,37.72424458430558,28293.183438229185,539.692649755641,1.9999216309826302,True
0,1,3.0,0.03525423728813559,0.08512849844069885,0.04987426115256326,0.018862122292152797,0.0037724244584305586,0.011713691286835002,0.011713691286835002,18.77884728537476,3.391153073916993e-13,299.8829953151391,299.8719872370378,99.18199711438426,37.72424458430558,28293.183438229185,599.7439744740756,1.9999265841793412,True
0,2,3.0,0.06050847457627119,0.09831213300273346,0.03780365842646227,0.018862122292152797,0.0037724244584305586,0.03450670859873878,0.03450670859873878,15.546849211567304,5.436164851878881e-11,327.7312062200768,327.7379897740031,153.93142402653567,37.72424458430559,28293.18343822919,655.4759795480062,2.000041397058306,True
0,3,3.0,0.08576271186440677,0.11558219043752872,0.02981947857312195,0.018862122292152797,0.0037724244584305586,0.06932152973178823,0.06932152973178823,13.168017455568481,1.7204378766561041e-09,352.2033103546523,352.2153552491195,198.42637004377377,37.72424458430559,28293.18343822919,704.430710498239,2.000068397394988,True
0,4,3.0,0.11101694915254237,0.13538376194779814,0.024366812795255766,0.018862122292152797,0.0037724244584305586,0.11615815468598342,0.11615815468598342,11.392281024302033,2.421051771556926e-08,373.30747516639235,373.29572799579614,235.27299503427554,37.72424458430553,28293.18343822915,746.5914559915923,1.9999370643698418,True
0,5,3.0,0.13627118644067798,0.1567604422485147,0.020489255807836726,0.018862122292152797,0.0037724244584305586,0.17501658346132434,0.17501658346132434,10.03065318339465,2.076098555409081e-07,391.4338336243691,391.4476776789638,266.25417231367953,37.72424458430561,28293.183438229207,782.8953553579277,2.0000707350944427,True
0,6,3.0,0.16152542372881357,0.17914927437969896,0.017623850650885398,0.018862122292152797,0.0037724244584305586,0.2458968160578109,0.2458968160578109,8.959425901793661,1.2709805714937894e-06,407.1497767832514,407.15631213469374,292.7255222642775,37.72424458430551,28293.18343822913,814.3126242693875,2.0000321029351604,True
0,7,3.0,0.18677966101694918,0.20221434610236322,0.01543468508541404,0.018862122292152797,0.0037724244584305586,0.32879885247544327,0.32879885247544327,8.095555697600531,6.095123792897983e-06,420.8829649127636,420.87291181967765,315.56242177548535,37.72424458430576,28293.18343822932,841.7458236393553,1.9999522285579412,True
0,8,3.0,0.21203389830508476,0.22574847514535049,0.013714576840265724,0.018862122292152797,0.0037724244584305586,0.42372269271422125,0.42372269271422125,7.3836810493420115,2.429311460856215e-05,432.9698009164508,432.96447504883656,335.37360786704846,37.72424458430546,28293.183438229094,865.9289500976731,1.99997539843378,True
0,9,3.0,0.23728813559322035,0.24961902830775226,0.012330892714531916,0.018862122292152797,0.0037724244584305586,0.5306683367741449,0.5306683367741449,6.786546280770137,8.374241090247982e-05,443.70221439827156,443.712350770549,352.646254402071,37.724244584305765,28293.183438229324,887.424701541098,2.0000456899783163,True
