target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,b0,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,pancake_length_m,search_pool,pick_rule,note
1.0,0.25,outside_window,2.0,693.0658598845341,5.816118778106168,4.816118778106168,4.816118778106168,0,thickness_grids_L2000mm.csv,53,149,149,1.5,1.9,0.4,14.137166941154067,14.137166941154067,12.087644442409593,972.5815241592404,972.5815241592404,47.32961753765375,749.9999999999999,693065.8598845341,2431.453810398101,True,0.0486639077156728,1386.1317197690682,pareto,closest,no design within +/-0.25 yr; nearest is 5.816 yr at 693.1 km
1.0,0.25,in_window,3.0,886.5029000367903,1.0035353207498643,0.0035353207498642902,0.0035353207498642902,23,thickness_grids_L3000mm.csv,148,130,148,1.49,1.7949683347596954,0.3049683347596955,20.9239495507041,20.9239495507041,13.527444571459696,928.697157186154,928.697157186154,52.317678394078264,750.0,886502.9000367903,2321.7428929653847,True,0.0563344875013883,1182.0038667157205,pareto,closest,
1.0,0.25,in_window,4.0,685.7747937934688,1.0026135824294538,0.0026135824294537535,0.0026135824294537535,16,thickness_grids_L4000mm.csv,116,86,148,1.49,1.6245889824782669,0.1345889824782667,27.8985994009388,27.8985994009388,10.646329884579004,1021.347064052064,1021.347064052064,79.7785239200353,750.0,685774.7937934689,2553.36766013016,True,0.078111081656733,685.7747937934688,pareto,closest,
1.0,0.25,in_window,5.0,606.864762985406,0.99735937353584,-0.0026406264641599675,0.0026406264641599675,15,thickness_grids_L5000mm.csv,106,66,148,1.49,1.5700905364623214,0.0800905364623215,34.8732492511735,34.8732492511735,8.851401734577149,1090.180628641981,1090.180628641981,103.11130348350127,750.0000000000001,606864.762985406,2725.4515716049523,True,0.0945818525613918,485.4918103883248,pareto,closest,
1.0,0.25,in_window,6.0,563.1511234673837,1.0063920875724064,0.006392087572406391,0.006392087572406391,15,thickness_grids_L6000mm.csv,98,54,148,1.49,1.5442754830863474,0.0542754830863474,41.8478991014082,41.8478991014082,7.58662810632632,1145.1739446165625,1145.1739446165625,124.6487233294672,750.0,563151.1234673838,2862.934861541406,True,0.1088469781516057,375.4340823115892,pareto,closest,
1.0,0.25,in_window,7.0,537.691952712997,1.0102257387233342,0.01022573872333421,0.01022573872333421,14,thickness_grids_L7000mm.csv,92,46,148,1.49,1.5299337867663618,0.0399337867663618,48.8225489516429,48.8225489516429,6.665718980720646,1189.2235396739468,1189.2235396739468,144.6646617470913,749.9999999999999,537691.952712997,2973.058849184867,True,0.1216463153653639,307.25254440742685,pareto,closest,
1.0,0.25,in_window,8.0,519.9881713906286,1.000674368293046,0.0006743682930459016,0.0006743682930459016,16,thickness_grids_L8000mm.csv,92,40,149,1.5,1.5306833926399712,0.0306833926399711,56.54866776461627,56.54866776461627,5.911669417756553,1228.1679117106576,1228.1679117106576,163.95273087212297,749.9999999999999,519988.1713906287,3070.4197792766436,True,0.1334937424344207,259.9940856953143,pareto,closest,
1.0,0.25,in_window,9.0,515.0416909758317,0.9877609622486984,-0.01223903775130164,0.01223903775130164,11,thickness_grids_L9000mm.csv,88,36,148,1.49,1.5152335480383767,0.0252335480383766,62.7718486521123,62.7718486521123,5.436694360952133,1254.1715612592316,1254.1715612592316,180.75971746953277,749.9999999999999,515041.6909758317,3135.4289031480785,True,0.1441267869987769,228.90741821148077,pareto,closest,
1.0,0.25,in_window,10.0,501.6073978881778,1.0055235151553816,0.005523515155381631,0.005523515155381631,14,thickness_grids_L10000mm.csv,87,32,149,1.5,1.5203573712895817,0.0203573712895815,70.68583470577035,70.68583470577035,4.902605319270308,1284.8947827575737,1284.8947827575737,200.19482491125495,749.9999999999999,501607.3978881777,3212.2369568939334,True,0.1558063956658049,200.6429591552711,pareto,closest,
2.0,0.25,outside_window,2.0,693.0658598845341,5.816118778106168,3.8161187781061683,3.8161187781061683,0,thickness_grids_L2000mm.csv,53,149,149,1.5,1.9,0.4,14.137166941154067,14.137166941154067,12.087644442409593,972.5815241592404,972.5815241592404,47.32961753765375,749.9999999999999,693065.8598845341,2431.453810398101,True,0.0486639077156728,1386.1317197690682,pareto,closest,no design within +/-0.25 yr; nearest is 5.816 yr at 693.1 km
2.0,0.25,in_window,3.0,657.3363508124005,1.997675015748425,-0.002324984251574902,0.002324984251574902,15,thickness_grids_L3000mm.csv,97,104,149,1.5,1.6958997342462052,0.1958997342462051,21.205750411731103,21.205750411731103,11.262273457433736,999.86376308968,999.86376308968,66.83156159705034,749.9999999999999,657336.3508124005,2499.6594077242,True,0.0668406677631101,876.4484677498673,pareto,closest,
2.0,0.25,in_window,4.0,533.6790266239375,1.989159700034204,-0.010840299965795941,0.010840299965795941,14,thickness_grids_L4000mm.csv,84,71,148,1.49,1.5823706139363092,0.0923706139363091,27.8985994009388,27.8985994009388,8.970484537404335,1085.29883872891,1085.29883872891,97.44586778162468,750.0000000000001,533679.0266239375,2713.247096822275,True,0.0897871298708401,533.6790266239375,pareto,closest,
2.0,0.25,in_window,5.0,480.59353473612623,2.0026175800631063,0.002617580063106306,0.002617580063106306,12,thickness_grids_L5000mm.csv,72,55,147,1.48,1.5362295392099454,0.0562295392099454,34.40672274211541,34.40672274211541,7.519686235205011,1148.255269333243,1148.255269333243,124.285032747485,750.0000000000001,480593.53473612625,2870.6381733331073,True,0.1082381558062899,384.474827788901,pareto,closest,
2.0,0.25,in_window,6.0,450.5717237237523,1.9724656623676868,-0.027534337632313166,0.027534337632313166,9,thickness_grids_L6000mm.csv,71,45,148,1.49,1.5283024188099634,0.0383024188099635,41.8478991014082,41.8478991014082,6.411922082091185,1202.0260334846942,1202.0260334846942,149.12105998121822,749.9999999999999,450571.7237237523,3005.0650837117355,True,0.124058095105406,300.3811491491682,pareto,closest,
2.0,0.25,in_window,7.0,430.1762818106361,1.9772268365084325,-0.02277316349156755,0.02277316349156755,11,thickness_grids_L7000mm.csv,65,38,149,1.5,1.527886761857574,0.0278867618575739,49.48008429403925,49.48008429403925,5.573087124909426,1246.581568381023,1246.581568381023,173.2737534566656,750.0,430176.2818106361,3116.4539209525574,True,0.1389991299820853,245.81501817750635,pareto,closest,
