source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
thickness_grids_L5000mm.csv,1,31,147,5.0,1.48,1.4992279627043827,0.0192279627043826,34.40672274211541,34.40672274211541,4.94864544839159,10.67705661496554,1923.2721539346255,1923.2721539346255,238.4065287026476,750.0000000000001,185901.55985004816,3205.4535898910426,True,0.1239588106212197,185.90155985004816,148.72124788003853
thickness_grids_L5000mm.csv,2,31,148,5.0,1.49,1.5092279627043828,0.0192279627043826,34.8732492511735,34.8732492511735,4.932011298979017,10.346742275607586,1924.740464312466,1924.740464312466,238.02411633375988,750.0000000000002,186706.81008827727,3207.90077385411,True,0.1236655646551204,186.70681008827728,149.36544807062182
thickness_grids_L5000mm.csv,3,31,149,5.0,1.5,1.5192279627043828,0.0192279627043826,35.34291735288517,35.34291735288517,4.915543769537096,10.028754694083858,1926.196488908364,1926.196488908364,237.6489860856334,749.9999999999997,187513.77698395617,3210.3274815139407,True,0.1233773332337016,187.51377698395615,150.01102158716492
thickness_grids_L5000mm.csv,4,32,146,5.0,1.47,1.4903573712895817,0.0203573712895815,33.94333782571091,33.94333782571091,5.1091981115195235,9.831394778312276,1909.2251774769811,1909.2251774769811,232.1007219936674,749.9999999999997,191802.2972998277,3182.0419624616356,True,0.1215680186558118,191.8022972998277,153.44183783986216
thickness_grids_L5000mm.csv,5,32,147,5.0,1.48,1.5003573712895817,0.0203573712895815,34.40672274211541,34.40672274211541,5.091908051403942,9.525212922099405,1910.7271016951645,1910.7271016951645,231.7219058890917,750.0,192631.40640291251,3184.545169491941,True,0.1212742027281195,192.63140640291252,154.10512512233
thickness_grids_L5000mm.csv,6,32,148,5.0,1.49,1.5103573712895817,0.0203573712895815,34.8732492511735,34.8732492511735,5.074792345660733,9.230532981075484,1912.2164330696207,1912.2164330696207,231.3502883237838,750.0000000000001,193462.2835507875,3187.027388449368,True,0.1209854095607809,193.4622835507875,154.76982684063
thickness_grids_L5000mm.csv,7,32,149,5.0,1.5,1.5203573712895817,0.0203573712895815,35.34291735288517,35.34291735288517,5.057848083513342,8.946849983988855,1913.693354496762,1913.693354496762,230.98574742086905,749.9999999999999,194294.9402169272,3189.48892416127,True,0.1207015465033114,194.2949402169272,155.43595217354175
thickness_grids_L5000mm.csv,8,33,146,5.0,1.47,1.4915226341155805,0.0215226341155803,33.94333782571091,33.94333782571091,5.25338954617303,8.79564485231988,1896.7998135329728,1896.7998135329728,225.7532581944411,750.0000000000001,198605.66601526935,3161.3330225549544,True,0.11901796730671,198.60566601526935,158.88453281221547
thickness_grids_L5000mm.csv,9,33,147,5.0,1.48,1.5015226341155803,0.0215226341155803,34.40672274211541,34.40672274211541,5.235611527180359,8.52171964351703,1898.322210058822,1898.322210058822,225.38487569278956,750.0000000000002,199460.5447039795,3163.870350098037,True,0.1187284616376087,199.4605447039795,159.5684357631836
thickness_grids_L5000mm.csv,10,33,148,5.0,1.49,1.5115226341155803,0.0215226341155803,34.8732492511735,34.8732492511735,5.218012783177065,8.258084608530279,1899.831894744081,1899.831894744081,225.02349356959135,750.0000000000001,200317.25513914,3166.386491240135,True,0.1184438971638084,200.31725513913997,160.25380411131198
thickness_grids_L5000mm.csv,11,33,149,5.0,1.5,1.5215226341155803,0.0215226341155803,35.34291735288517,35.34291735288517,5.200590321238854,8.004287975470657,1901.3290516742995,1901.3290516742995,224.66899329885513,749.9999999999997,201175.80900530535,3168.8817527904994,True,0.1181641826284687,201.17580900530535,160.94064720424427
thickness_grids_L5000mm.csv,12,34,146,5.0,1.47,1.4927237511823792,0.0227237511823791,33.94333782571091,33.94333782571091,5.397987900893239,7.890390191425028,1884.51599331109,1884.51599331109,219.7290611208168,750.0000000000001,205507.40886403585,3140.8599888518165,True,0.1165970795157611,205.50740886403585,164.40592709122865
thickness_grids_L5000mm.csv,13,34,147,5.0,1.48,1.5027237511823792,0.0227237511823791,34.40672274211541,34.40672274211541,5.379720545963469,7.644657579773259,1886.0582021324803,1886.0582021324803,219.3705827948584,749.9999999999999,206388.25676306852,3143.4303368874675,True,0.1163116719021852,206.3882567630685,165.1106054104548
thickness_grids_L5000mm.csv,14,34,148,5.0,1.49,1.5127237511823792,0.0227237511823791,34.8732492511735,34.8732492511735,5.361637400526461,7.408156069184554,1887.5875863551144,1887.5875863551144,219.0189167437766,749.9999999999997,207271.0011752084,3145.979310591858,True,0.1160311279471257,207.2710011752084,165.81680094016673
thickness_grids_L5000mm.csv,15,34,149,5.0,1.5,1.5227237511823792,0.0227237511823791,35.34291735288517,35.34291735288517,5.343735389278364,7.180480384486772,1889.104331161378,1889.104331161378,218.6739476223065,749.9999999999998,208155.65398758653,3148.5072186022967,True,0.1157553577191106,208.15565398758653,166.52452319006923
thickness_grids_L5000mm.csv,16,35,146,5.0,1.47,1.4939607224899778,0.0239607224899779,33.94333782571091,33.94333782571091,5.5429613299935,7.096737022561393,1872.374006432268,1872.374006432268,214.0053887939928,750.0000000000003,212506.9245209304,3120.6233440537803,True,0.1142962827185212,212.50692452093045,170.00553961674433
thickness_grids_L5000mm.csv,17,35,147,5.0,1.48,1.5039607224899778,0.0239607224899779,34.40672274211541,34.40672274211541,5.524203369835747,6.875721371820192,1873.9353822199423,1873.9353822199423,213.65632245521297,750.0,213413.9360655699,3123.2256370332375,True,0.1140147757934463,213.41393606556989,170.73114885245593
