row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
0,0,1.0,0.01,0.012,0.002,0.0003141592653589793,0.0003141592653589793,2.964706358712883,5.209326931420515e+18,2117.683639074054,2117.683639074054,1179.905397901635,17.486122411806697,128.36227494803202,3529.47273179009,True,0.5571679244863706,0.128362274948032,0.513449099792128
0,1,1.0,0.020000000000000018,0.02200000000000002,0.002,0.0012566370614359196,0.0012566370614359196,3.4761347393061754,2.7130344481846144e+16,2063.542805701946,2063.542805701946,1384.330348503963,48.07876950566691,295.0558068084712,3439.238009503243,True,0.6708512877362202,0.29505580680847115,1.1802232272338846
0,2,1.0,0.030000000000000027,0.03200000000000003,0.002,0.002827433388230819,0.002827433388230819,3.7688885871318463,1315366543146162.5,2033.8912123877442,2033.8912123877442,1502.4735613395032,84.77699101510056,479.62236487646237,3389.818687312907,True,0.73871874375013,0.47962236487646237,1.9184894595058495
0,3,1.0,0.040000000000000036,0.04200000000000004,0.002,0.0050265482457436785,0.0050265482457436785,3.9680648409784225,157275124307241.12,2014.2447815788519,2014.2447815788519,1584.1430395160942,125.2990148501367,675.3433326754728,3357.0746359647533,True,0.7864699732643093,0.6753433326754728,2.701373330701891
0,4,1.0,0.050000000000000044,0.052000000000000046,0.002,0.007853981633974497,0.007853981633974497,4.114836075099665,30725444176956.082,2000.031247214976,2000.031247214976,1645.7371966901085,168.4244843295697,878.9263687657942,3333.3854120249603,True,0.8228557423699162,0.8789263687657942,3.515705475063177
0,5,1.0,0.05999999999999983,0.06199999999999983,0.002,0.011309733552923192,0.011309733552923192,4.227888968288065,8175965630139.309,1989.2318654872774,1989.2318654872774,1694.6975023092932,213.36763426044394,1088.4167845778595,3315.3864424787957,True,0.8519356298840327,1.0884167845778596,4.3536671383114385
0,6,1.0,0.06999999999999984,0.07199999999999984,0.002,0.015393804002589915,0.015393804002589915,4.317268405073452,2690823559833.8906,1980.7838501609413,1980.7838501609413,1735.0198741382926,259.56509117483824,1302.5197877723695,3301.3064169349022,True,0.8759258987280818,1.3025197877723695,5.210079151089478
0,7,1.0,0.08000000000000007,0.08200000000000007,0.002,0.020106192982974714,0.020106192982974714,4.388988486784728,1034309881469.4359,1974.0615798801584,1974.0615798801584,1769.0909381202598,306.5836672860414,1520.3132980972553,3290.1026331335975,True,0.8961680608908148,1.5203132980972554,6.081253192389021
0,8,1.0,0.09000000000000008,0.09200000000000008,0.002,0.02544690049407737,0.02544690049407737,4.446934445409471,447557371501.4855,1968.6667328722965,1968.6667328722965,1798.4457679057775,354.07405828965983,1741.105749514398,3281.1112214538275,True,0.9135349004866021,1.741105749514398,6.964422998057592
0,9,1.0,0.10000000000000009,0.10200000000000009,0.002,0.03141592653589799,0.03141592653589799,4.493764395359778,212618226383.10507,1964.3303400876314,1964.3303400876314,1824.1273754821489,401.74524253503074,1964.3579274922533,3273.8839001460524,True,0.928625566818243,1.9643579274922534,7.857431709969013
0,10,1.0,0.1100000000000001,0.1120000000000001,0.002,0.03801327110843657,0.03801327110843657,4.531381453082662,108935131352.63455,1960.8621741127968,1960.8621741127968,1846.8750971782688,449.3493060531445,2189.6366263547357,3268.1036235213282,True,0.9418688990795072,2.1896366263547358,8.758546505418943
0,11,1.0,0.1200000000000001,0.12200000000000011,0.002,0.0452389342116931,0.0452389342116931,4.561200057403556,59408724570.02418,1958.1225157905938,1958.1225157905938,1867.2310030597268,496.6719493348113,2416.585539430327,3263.5375263176566,True,0.9535823157142088,2.416585539430327,9.666342157721308
0,12,1.0,0.1299999999999999,0.1319999999999999,0.002,0.05309291584566741,0.05309291584566741,4.584305204453621,34144852751.518578,1956.0054325575816,1956.0054325575816,1885.603642147621,543.526275570695,2644.906116997078,3260.0090542626363,True,0.9640073645818527,2.644906116997078,10.579624467988312
0,13,1.0,0.1399999999999999,0.1419999999999999,0.002,0.061575216010359854,0.061575216010359854,4.601552205101666,20522835698.523685,1954.428386687389,1954.428386687389,1902.3080852464382,589.7485575690636,2874.344497558082,3257.380644478982,True,0.973332201990122,2.874344497558082,11.497377990232328
