source_file,pareto_rank,solenoid_length_m,length_tape_km,scan,row_i,col_j,ri,rf,th,v,v_bore,b0,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,pancake_length_m
thickness_grids_L1000mm.csv,0,1.0,704.718268991295,10.966472499232308,122,149,1.5,1.7688272600333317,0.2688272600333318,7.0685834705770345,7.0685834705770345,18.379834005837896,1212.1148179604932,1212.1148179604932,185.65018729424955,750.0,704718.268991295,2020.191363267489,True,0.153162212476393,2818.87307596518
thickness_grids_L1000mm.csv,1,1.0,710.2246833189831,10.953353579816287,123,148,1.49,1.7632194045313274,0.2732194045313274,6.9746498502347,6.9746498502347,18.59144720109381,1205.3820782830849,1205.3820782830849,183.9488067592505,750.0000000000001,710224.6833189832,2008.9701304718085,True,0.1526062234318784,2840.8987332759325
thickness_grids_L1000mm.csv,2,1.0,715.0527645490978,10.616722945589384,123,149,1.5,1.7732194045313274,0.2732194045313274,7.0685834705770345,7.0685834705770345,18.5293720788784,1207.3485421813452,1207.3485421813452,184.3679692919008,750.0,715052.7645490977,2012.247570302242,True,0.1527048427613113,2860.211058196391
thickness_grids_L1000mm.csv,3,1.0,720.6061748281318,10.6067652234161,124,148,1.49,1.767647403270123,0.277647403270123,6.9746498502347,6.9746498502347,18.74149517075904,1200.6576918778032,1200.6576918778032,182.69256461821897,750.0,720606.1748281318,2001.096153129672,True,0.1521604082946336,2882.424699312527
thickness_grids_L1000mm.csv,4,1.0,725.4906756407166,10.280786327707489,124,149,1.5,1.777647403270123,0.277647403270123,7.0685834705770345,7.0685834705770345,18.678919052254617,1202.6229970375064,1202.6229970375064,183.10781025184625,749.9999999999999,725490.6756407167,2004.3716617291773,True,0.1522570337528109,2901.9627025628665
thickness_grids_L1000mm.csv,5,1.0,731.0917233385708,10.273758632271328,125,148,1.49,1.7721112562497183,0.2821112562497185,6.9746498502347,6.9746498502347,18.891551857791143,1195.973554245161,1195.973554245161,181.4577985873399,749.9999999999999,731091.7233385708,1993.2892570752688,True,0.1517239222750765,2924.366893354283
thickness_grids_L1000mm.csv,6,1.0,736.0329237859029,9.958014065178324,125,149,1.5,1.7821112562497186,0.2821112562497185,7.0685834705770345,7.0685834705770345,18.82847471389123,1197.9376543924818,1197.9376543924818,181.86918548579993,749.9999999999999,736032.9237859029,1996.562757320803,True,0.151818573211168,2944.1316951436115
thickness_grids_L1000mm.csv,7,1.0,741.6822590995566,9.953700981446858,126,148,1.49,1.776610963470114,0.286610963470114,6.9746498502347,6.9746498502347,19.041617056099568,1191.3291449156504,1191.3291449156504,180.24400167821173,750.0000000000001,741682.2590995566,1985.5485748594176,True,0.15129656018864,2966.7290363982265
thickness_grids_L1000mm.csv,8,1.0,746.680438795537,9.647792781745917,126,149,1.5,1.786610963470114,0.286610963470114,7.0685834705770345,7.0685834705770345,18.97803885838579,1193.2919951181022,1193.2919951181022,180.6515866543046,750.0000000000001,746680.438795537,1988.819991863504,True,0.151389255432343,2986.721755182148
thickness_grids_L1000mm.csv,9,1.0,752.3787206972827,9.645993533781535,127,148,1.49,1.7811465249313094,0.2911465249313094,6.9746498502347,6.9746498502347,19.19169056602816,1186.7239522795255,1186.7239522795255,179.05068257966354,750.0000000000001,752378.7206972827,1977.8732537992096,True,0.1508781231184665,3009.5148827891308
thickness_grids_L1000mm.csv,10,1.0,757.4341588019385,9.349542141304893,127,149,1.5,1.7911465249313094,0.2911465249313094,7.0685834705770345,7.0685834705770345,19.127611286748795,1188.6855089096866,1188.6855089096866,179.45452113699494,750.0000000000003,757434.1588019384,1981.1425148494775,True,0.1509688809966215,3029.736635207754
thickness_grids_L1000mm.csv,11,1.0,768.2950302896379,9.062712832202072,128,149,1.5,1.7957179406333048,0.2957179406333048,7.0685834705770345,7.0685834705770345,19.27719180615572,1184.1176941053957,1184.1176941053957,178.27751143165196,750.0000000000001,768295.0302896379,1973.5294901756597,True,0.1505572565287449,3073.1801211585516
thickness_grids_L1000mm.csv,12,1.0,779.2640081266195,8.78678468864893,129,149,1.5,1.8003252105761,0.3003252105761002,7.0685834705770345,7.0685834705770345,19.426780229710573,1179.5880575096642,1179.5880575096642,177.12009458052793,750.0000000000002,779264.0081266195,1965.9800958494404,True,0.1501541944689252,3117.056032506478
thickness_grids_L1000mm.csv,13,1.0,790.3420555959954,8.521264938974024,130,149,1.5,1.8049683347596956,0.3049683347596955,7.0685834705770345,7.0685834705770345,19.57637637622012,1175.096114220651,1175.096114220651,175.9818216225154,750.0000000000001,790342.0555959954,1958.4935237010857,True,0.1497595128541722,3161.3682223839814
thickness_grids_L1000mm.csv,14,1.0,801.5301444281139,8.265686571283164,131,149,1.5,1.8096473131840909,0.3096473131840908,7.0685834705770345,7.0685834705770345,19.725980069978345,1170.641387461604,1170.641387461604,174.86225706981602,750.0,801530.1444281139,1951.0689791026732,True,0.1493730351093975,3206.1205777124555
thickness_grids_L1000mm.csv,15,1.0,812.8292548331069,8.019606807859535,132,149,1.5,1.814362145849286,0.314362145849286,7.0685834705770345,7.0685834705770345,19.87559114056073,1166.223408416044,1166.223408416044,173.76097840784576,750.0,812829.2548331069,1943.705680693407,True,0.1489945898477948,3251.3170193324277
thickness_grids_L1000mm.csv,16,1.0,824.240375533826,7.7826056803348225,133,149,1.5,1.8191128327552812,0.3191128327552813,7.0685834705770345,7.0685834705770345,20.02520942262747,1161.8417160667134,1161.8417160667134,172.67757561718508,750.0,824240.375533826,1936.402860111189,True,0.148624010680014,3296.961502135304
thickness_grids_L1000mm.csv,17,1.0,835.7645037992033,7.554284698298077,134,149,1.5,1.8238993739020768,0.3238993739020765,7.0685834705770345,7.0685834705770345,20.17483475573565,1157.4958570381668,1157.4958570381668,171.61165071645286,750.0000000000003,835764.5037992033,1929.1597617302784,True,0.1482611360316896,3343.058015196814
thickness_grids_L1000mm.csv,18,1.0,847.4026454779897,7.334265604592092,135,149,1.5,1.828721769289672,0.3287217692896717,7.0685834705770345,7.0685834705770345,20.324466984159475,1153.1853854429503,1153.1853854429503,170.56281732504593,749.9999999999998,847402.6454779897,1921.9756424049172,True,0.1479058089688944,3389.610581911959
thickness_grids_L1000mm.csv,19,1.0,859.155815032893,7.122189211078319,136,149,1.5,1.8335800189180669,0.3335800189180668,7.0685834705770345,7.0685834705770345,20.47410595671853,1148.90986273127,1148.90986273127,169.53070024474982,750.0000000000001,859155.815032893,1914.8497712187836,True,0.147557877031127,3436.623260131572
thickness_grids_L1000mm.csv,20,1.0,871.0250355750828,6.9177143091386055,137,149,1.5,1.838474122787262,0.3384741227872618,7.0685834705770345,7.0685834705770345,20.623751526613304,1144.6688575440794,1144.6688575440794,168.5149350592773,750.0000000000001,871025.0355750829,1907.7814292401324,True,0.1472171920714529,3484.1001423003313
thickness_grids_L1000mm.csv,21,1.0,883.0113388990654,6.720516649626741,138,149,1.5,1.843404080897257,0.3434040808972569,7.0685834705770345,7.0685834705770345,20.77340355126793,1140.4619455694965,1140.4619455694965,167.51516775084932,750.0,883011.3388990654,1900.7699092824944,True,0.1468836101034477,3532.0453555962617
thickness_grids_L1000mm.csv,22,1.0,895.115765517926,6.530287987391493,139,149,1.5,1.848369893248052,0.3483698932480519,7.0685834705770345,7.0685834705770345,20.923061892179547,1136.2887094024836,1136.2887094024836,166.53105433298185,749.9999999999998,895115.765517926,1893.814515670806,True,0.146556991154609,3580.463062071704
thickness_grids_L1000mm.csv,23,1.0,907.3393646989222,6.346735185866166,140,149,1.5,1.8533715598396467,0.3533715598396468,7.0685834705770345,7.0685834705770345,21.07272641477415,1132.1487384077018,1132.1487384077018,165.56226049868533,750.0000000000001,907339.364698922,1886.9145640128363,True,0.1462371991259192,3629.3574587956887
thickness_grids_L1000mm.csv,24,1.0,919.6831944994204,6.169579377563071,141,149,1.5,1.858409080672042,0.3584090806720418,7.0685834705770345,7.0685834705770345,21.222396988268393,1128.0416285854767,1128.0416285854767,164.60846128332955,750.0000000000001,919683.1944994204,1880.0693809757945,True,0.1459241016572611,3678.7327779976818
thickness_grids_L1000mm.csv,25,1.0,932.148321803176,5.998555176625521,142,149,1.5,1.8634824557452367,0.3634824557452367,7.0685834705770345,7.0685834705770345,21.372073485537268,1123.9669824407931,1123.9669824407931,163.6693407414703,750.0,932148.3218031762,1873.278304067989,True,0.1456175699984068,3728.5932872127046
thickness_grids_L1000mm.csv,26,1.0,944.735822356958,5.833409939879214,143,149,1.5,1.8685916850592317,0.3685916850592315,7.0685834705770345,7.0685834705770345,21.521755782987263,1119.9244088552475,1119.9244088552475,162.74459163696747,750.0,944735.8223569582,1866.540681425413,True,0.1453174788853115,3778.943289427833
thickness_grids_L1000mm.csv,27,1.0,957.4467808074822,5.673903073090153,144,149,1.5,1.8737367686140265,0.3737367686140264,7.0685834705770345,7.0685834705770345,21.67144376043473,1115.913522961893,1115.913522961893,161.8339151457621,750.0000000000001,957446.7808074822,1859.855871603155,True,0.1450237064214594,3829.787123229929
thickness_grids_L1000mm.csv,28,1.0,970.2822907386828,5.519805379380261,145,149,1.5,1.8789177064096212,0.3789177064096211,7.0685834705770345,7.0685834705770345,21.821137300989243,1111.9339460229037,1111.9339460229037,160.93702057071877,750.0000000000001,970282.2907386828,1853.2232433715055,True,0.1447361339640258,3881.129162954731
thickness_grids_L1000mm.csv,29,1.0,983.243454709296,5.370898446976268,146,149,1.5,1.884134498446016,0.384134498446016,7.0685834705770345,7.0685834705770345,21.970836290941712,1107.9853053099885,1107.9853053099885,160.05362506796305,749.9999999999998,983243.454709296,1846.6421755166475,True,0.1444546460146272,3932.973818837184
thickness_grids_L1000mm.csv,30,1.0,996.331384290752,5.226974073673935,147,149,1.5,1.889387144723211,0.3893871447232107,7.0685834705770345,7.0685834705770345,22.120540619657056,1104.0672339874968,1104.0672339874968,159.1834533841802,750.0000000000001,996331.384290752,1840.112056645828,True,0.1441791301144463,3985.325537163008
