row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
0,0,9.0,0.001,0.003,0.002,2.8274333882308137e-05,2.8274333882308137e-05,1,,,,,,,13152.738189077485,33.05643299862139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,1,9.0,0.016141414141414012,0.018141414141414014,0.002,0.0073667434036523245,0.0073667434036523245,1,,,,,,,5718.240911878316,14.371402529544001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,2,9.0,0.031282828282828135,0.033282828282828136,0.002,0.027669697017424003,0.027669697017424003,1,,,,,,,4228.945428198644,10.628225533100858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,3,9.0,0.04642424242424226,0.04842424242424226,0.002,0.06093713517519734,0.06093713517519734,1,,,,,,,3507.8031433975743,8.815581259853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,4,9.0,0.0615656565656566,0.0635656565656566,0.002,0.10716905787697309,0.10716905787697309,1,,,,,,,3062.428651424678,7.695978813145931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,5,9.0,0.0767070707070705,0.0787070707070705,0.002,0.16636546512274897,0.16636546512274897,1,,,,,,,2752.5811900327453,6.916959804833332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,6,9.0,0.09184848484848462,0.09384848484848463,0.002,0.23852635691252724,0.23852635691252724,1,,,,,,,2521.0703336966444,6.33479249736964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,7,9.0,0.10698989898989897,0.10898989898989897,0.002,0.3236517332463085,0.3236517332463085,1,,,,,,,2339.6350194632137,5.878451669315016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,8,9.0,0.12213131313131287,0.12413131313131287,0.002,0.4217415941240888,0.4217415941240888,1,,,,,,,2192.495544560911,5.508280612659265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,9,9.0,0.1372727272727272,0.13927272727272721,0.002,0.5327959395458738,0.5327959395458738,1,,,,,,,2070.0575652654325,5.200167739226006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,10,9.0,0.15241414141414134,0.15441414141414134,0.002,0.6568147695116588,0.6568147695116588,1,,,,,,,1966.1077386771121,4.938498569347698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,11,9.0,0.16755555555555546,0.16955555555555546,0.002,0.7937980840214456,0.7937980840214456,1,,,,,,,1876.4215511114662,4.712656893141828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,12,9.0,0.18269696969696958,0.18469696969696958,0.002,0.9437458830752342,0.9437458830752342,1,,,,,,,1798.013206705375,4.515139582299375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,13,9.0,0.1978383838383837,0.1998383838383837,0.002,1.1066581666730242,1.1066581666730242,1,,,,,,,1728.704628999109,4.34047340612853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,14,9.0,0.21297979797979782,0.21497979797979783,0.002,1.2825349348148158,1.2825349348148158,1,,,,,,,1666.864626357254,4.184559506901701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,15,9.0,0.22812121212121195,0.23012121212121195,0.002,1.4713761875006093,1.4713761875006093,1,,,,,,,1611.2441289324317,4.04425932313987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,16,9.0,0.2432626262626263,0.2452626262626263,0.002,1.6731819247304072,1.6731819247304072,1,,,,,,,1560.868297135894,3.9171234423664436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,17,9.0,0.2584040404040404,0.2604040404040404,0.002,1.8879521465042042,1.8879521465042042,1,,,,,,,1514.9636692008855,3.8012085136312375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,18,9.0,0.27354545454545454,0.27554545454545454,0.002,2.115686852822003,2.115686852822003,1,,,,,,,1472.90764782461,3.694950302044288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,19,9.0,0.28868686868686866,0.29068686868686866,0.002,2.356386043683803,2.356386043683803,1,,,,,,,1434.1926572131676,3.597073612397561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,20,9.0,0.3038282828282828,0.3058282828282828,0.002,2.610049719089605,2.610049719089605,1,,,,,,,1398.4001872795902,3.50652706062409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,21,9.0,0.3189696969696969,0.3209696969696969,0.002,2.8766778790394083,2.8766778790394083,1,,,,,,,1365.1816554517752,3.422434978832571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,22,9.0,0.334111111111111,0.336111111111111,0.002,3.156270523533214,3.156270523533214,1,,,,,,,1334.244066066958,3.3440613771980527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,23,9.0,0.34925252525252515,0.35125252525252515,0.002,3.4488276525710204,3.4488276525710204,1,,,,,,,1305.33910788499,3.270782546190674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,24,9.0,0.36439393939393927,0.36639393939393927,0.002,3.7543492661528286,3.7543492661528286,1,,,,,,,1278.2547561874937,3.2020659530463025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,25,9.0,0.3795353535353536,0.3815353535353536,0.002,4.072835364278643,4.072835364278643,1,,,,,,,1252.808726711307,3.1374537919746532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
0,26,9.0,0.39467676767676774,0.39667676767676774,0.002,4.404285946948455,4.404285946948455,1,,,,,,,1228.8433173877181,3.0765500219922783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,
