source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
thickness_grids_L4000mm.csv,1,27,97,4.0,1.4697171717171718,1.5087584940312213,0.0390413223140495,27.144222138210417,6.02266090374675,27.144222138210417,10.72662126586399,153.05344908526553,1833.3909417607008,1833.3909417607008,3055.651569601168,750.0000000000001,0.0834810762936792,203313.0372099389,1,203.3130372099389,203.3130372099389
thickness_grids_L4000mm.csv,2,27,98,4.0,1.484858585858586,1.5238999081726354,0.0390413223140495,27.706397013693948,5.976056254787296,27.706397013693948,10.334331239566174,152.42162068809813,1837.1001885164665,1837.1001885164665,3061.8336475274436,749.9999999999998,0.0829685945496444,204119.35860942808,1,204.11935860942808,204.11935860942808
thickness_grids_L4000mm.csv,3,27,99,4.0,1.5,1.5390413223140496,0.0390413223140495,28.274333882308134,5.930017917521691,28.274333882308134,9.9619104408304,151.79920686796157,1840.7805546133957,1840.7805546133957,3067.967591022326,750.0000000000003,0.0824645862797278,204921.3564831066,1,204.9213564831066,204.9213564831066
thickness_grids_L4000mm.csv,4,28,96,4.0,1.4545757575757576,1.49641169268442,0.0418359351086623,26.58780925585756,6.27595803304963,26.58780925585756,9.747186842704057,148.34812806992008,1813.5146996564088,1813.5146996564088,3022.524499427348,749.9999999999999,0.0818014478173385,211512.69910432596,1,211.51269910432595,211.51269910432595
thickness_grids_L4000mm.csv,5,28,97,4.0,1.4697171717171718,1.511553106825834,0.0418359351086623,27.144222138210417,6.2272312095624205,27.144222138210417,9.385050846746676,147.73046017201986,1817.3015358253692,1817.3015358253697,3028.8358930422824,749.9999999999999,0.0812911106163373,212350.11562838423,1,212.35011562838423,212.35011562838423
thickness_grids_L4000mm.csv,6,28,98,4.0,1.484858585858586,1.5266945209672482,0.0418359351086623,27.706397013693948,6.179099781087066,27.706397013693948,9.041495120847738,147.12208215272918,1821.0591629551225,1821.0591629551225,3035.098604925204,750.0000000000001,0.0807892929266432,213182.93034522177,1,213.1829303452217,213.1829303452217
thickness_grids_L4000mm.csv,7,28,99,4.0,1.5,1.5418359351086623,0.0418359351086623,28.274333882308134,6.131552062776838,28.274333882308134,8.715352848950465,146.52275049320554,1824.7879866409176,1824.7879866409176,3041.3133110681965,749.9999999999999,0.0802957667224265,214011.21367365707,1,214.01121367365707,214.01121367365707
thickness_grids_L4000mm.csv,8,29,96,4.0,1.4545757575757576,1.4993079277624732,0.0447321701867156,26.58780925585756,6.481677146080033,26.58780925585756,8.56741559862427,143.34057550667038,1797.7159237909834,1797.7159237909834,2996.193206318306,750.0000000000001,0.079734831076312,220658.1896740112,1,220.6581896740112,220.6581896740112
thickness_grids_L4000mm.csv,9,29,97,4.0,1.4697171717171718,1.5144493419038874,0.0447321701867156,27.144222138210417,6.431414715628708,27.144222138210417,8.248795430404675,142.74526772267492,1801.5480575973324,1801.5480575973324,3002.580095995554,750.0000000000001,0.079234782064626,221522.3258544182,1,221.5223258544182,221.5223258544182
thickness_grids_L4000mm.csv,10,29,98,4.0,1.484858585858586,1.5295907560453017,0.0447321701867156,27.706397013693948,6.3817651643763424,27.706397013693948,7.946535163594289,142.15889409502878,1805.351093501822,1805.351093501822,3008.918489169703,750.0000000000003,0.0787430736363222,222381.6432236169,1,222.38164322361695,222.38164322361695
thickness_grids_L4000mm.csv,11,29,99,4.0,1.5,1.5447321701867156,0.0447321701867156,28.274333882308134,6.332716503433372,28.274333882308134,7.659606688824574,141.58122087803315,1809.1254302205316,1809.1254302205311,3015.209050367552,750.0,0.0782594830148258,223236.21620114864,1,223.23621620114864,223.23621620114864
thickness_grids_L4000mm.csv,12,30,96,4.0,1.4545757575757576,1.502305785123967,0.0477300275482093,26.58780925585756,6.686940840762662,26.58780925585756,7.562919718006659,138.64142739971308,1782.249825734268,1782.2498257342677,2970.4163762237795,750.0,0.0777901197676337,229936.89642104605,1,229.93689642104604,229.93689642104604
thickness_grids_L4000mm.csv,13,30,97,4.0,1.4697171717171718,1.517447199265381,0.0477300275482093,27.144222138210417,6.635152315228595,27.144222138210417,7.281368417546075,138.06714385675065,1786.1243868705333,1786.1243868705333,2976.8739781175555,750.0000000000001,0.0772998481358053,230827.77217151056,1,230.82777217151056,230.82777217151056
thickness_grids_L4000mm.csv,14,30,98,4.0,1.484858585858586,1.5325886134067952,0.0477300275482093,27.706397013693948,6.583993916334719,27.706397013693948,7.014284903884873,137.5014595774979,1789.969986463002,1789.9699864630018,2983.2833107716697,749.9999999999999,0.0768177458937186,231713.60673888863,1,231.71360673888864,231.71360673888864
thickness_grids_L4000mm.csv,15,30,99,4.0,1.5,1.547730027548209,0.0477300275482093,28.274333882308134,6.533453359367115,28.274333882308134,6.760759309546662,136.94415002462074,1793.7870160596888,1793.7870160596888,2989.645026766148,750.0000000000003,0.0763435953090118,232594.4786833203,1,232.59447868332032,232.59447868332032
thickness_grids_L4000mm.csv,16,31,96,4.0,1.4545757575757576,1.5054052647689011,0.0508295071931435,26.58780925585756,6.891694032697437,26.58780925585756,6.703405050260749,134.22336920634538,1767.1099367649094,1767.1099367649094,2945.1832279415157,750.0000000000002,0.0759564339568319,239347.0099598144,1,239.3470099598144,239.3470099598144
thickness_grids_L4000mm.csv,17,31,97,4.0,1.4697171717171718,1.5205466789103153,0.0508295071931435,27.144222138210417,6.838389511317455,27.144222138210417,6.453588288912433,133.66889173534557,1771.0241794686012,1771.0241794686012,2951.706965781002,750.0000000000002,0.0754754753125127,240264.651173375,1,240.264651173375,240.264651173375
thickness_grids_L4000mm.csv,18,31,98,4.0,1.484858585858586,1.5356880930517294,0.0508295071931435,27.706397013693948,6.785732117469411,27.706397013693948,6.216618866759923,133.12269764346672,1774.909620191305,1774.909620191305,2958.182700318842,750.0,0.075002521891294,241177.02337296293,1,241.17702337296296,241.17702337296296
