source_file,pareto_rank,solenoid_length_m,length_tape_km,scan,row_i,col_j,ri,rf,th,v,b0,v_bore,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,pancake_length_m
thickness_grids_L2000mm.csv,0,2.0,348.5750209011611,10.991994780359136,72,98,1.484858585858586,1.7502635445362718,0.2654049586776859,13.853198506846974,10.485145772673556,13.853198506846974,59.72935156316579,1540.7063379550195,1540.7063379550198,2567.8438965917,750.0000000000001,0.0387675120766002,348575.02090116113,1,697.1500418023222
thickness_grids_L2000mm.csv,1,2.0,349.45679688881467,10.68838831883406,72,99,1.5,1.765404958677686,0.2654049586776859,14.137166941154067,10.381782775677806,14.137166941154067,59.541796484387504,1546.3334148976744,1546.3334148976744,2577.222358162791,750.0,0.038505147667864,349456.79688881466,1,698.9135937776293
thickness_grids_L2000mm.csv,2,2.0,355.0771601840711,10.532929404899836,73,98,1.484858585858586,1.7576311600857055,0.2727725742271197,13.853198506846974,10.597570338520262,13.853198506846974,58.832919416358024,1534.6367473212115,1534.6367473212115,2557.727912202019,750.0000000000002,0.0383367070540008,355077.1601840711,1,710.1543203681422
thickness_grids_L2000mm.csv,3,2.0,355.97056002948847,10.240926575505169,73,99,1.5,1.77277257422712,0.2727725742271197,14.137166941154067,10.49337468634261,14.137166941154067,58.64932963587298,1540.260287001441,1540.260287001441,2567.100478335735,750.0000000000001,0.0380775445103832,355970.56002948846,1,711.9411200589769
thickness_grids_L2000mm.csv,4,2.0,361.6195909314305,10.101637013294082,74,98,1.484858585858586,1.7651003979185798,0.2802418120599939,13.853198506846974,10.708919684489455,13.853198506846974,57.95997221564157,1528.6767082816884,1528.6767082816884,2547.794513802814,750.0000000000001,0.0379151274443054,361619.59093143046,1,723.239181862861
thickness_grids_L2000mm.csv,5,2.0,362.5247616764091,9.820548297187976,74,99,1.5,1.780241812059994,0.2802418120599939,14.137166941154067,10.60391064889121,14.137166941154067,57.78025051198435,1534.2960087879603,1534.2960087879603,2557.1600146466008,750.0,0.0376591284739303,362524.7616764091,1,725.0495233528183
thickness_grids_L2000mm.csv,6,2.0,368.2021381302446,9.696057149905128,75,98,1.484858585858586,1.7726712580348944,0.2878126721763086,13.853198506846974,10.819191539212053,13.853198506846974,57.1096030706317,1522.8241952595768,1522.8241952595768,2538.040325432628,750.0,0.0375024269041752,368202.13813024457,1,736.4042762604892
thickness_grids_L2000mm.csv,7,2.0,369.11923219249746,9.425243522649051,75,99,1.5,1.7878126721763086,0.2878126721763086,14.137166941154067,10.713388364986198,14.137166941154067,56.93365566434661,1528.43857969625,1528.43857969625,2547.3976328270837,750.0000000000001,0.0372495541663579,369119.23219249747,1,738.2384643849949
thickness_grids_L2000mm.csv,8,2.0,374.82463499161366,9.314308517496238,76,98,1.484858585858586,1.7803437404346496,0.2954851545760637,13.853198506846974,10.928383989777355,13.853198506846974,56.280951786037775,1517.0772237718193,1517.0772237718193,2528.4620396196988,750.0000000000003,0.0370982774667922,374824.6349916137,1,749.6492699832273
thickness_grids_L2000mm.csv,9,2.0,375.7538100246582,9.053177092767807,76,99,1.5,1.7954851545760635,0.2954851545760637,14.137166941154067,10.821805886106452,14.137166941154067,56.10868816087243,1522.6860394683558,1522.6860394683558,2537.810065780593,750.0000000000001,0.0368484945067617,375753.8100246582,1,751.5076200493164
thickness_grids_L2000mm.csv,10,2.0,381.4869228899118,8.954671255175008,77,98,1.484858585858586,1.7881178451178452,0.3032592592592593,13.853198506846974,11.036495472454844,13.853198506846974,55.4732018810628,1511.4338496454625,1511.4338496454625,2519.0564160757704,750.0000000000001,0.0367023683465043,381486.9228899118,1,762.9738457798236
thickness_grids_L2000mm.csv,11,2.0,382.4283416386387,8.70267135712684,77,99,1.5,1.8032592592592591,0.3032592592592593,14.137166941154067,10.929161604452124,14.137166941154067,55.3045346168487,1517.0364673948804,1517.0364673948802,2528.3941123248005,750.0,0.0364556395350337,382428.3416386387,1,764.8566832772774
