target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,b0,v_bore,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,pancake_length_m,search_pool,pick_rule,note
1.5,0.25,outside_window,2.0,539.1602635389121,4.3169677748551925,2.8169677748551925,2.8169677748551925,0,thickness_grids_L2000mm.csv,46,99,99,1.5,2.0,0.5,14.137166941154067,13.022827617827389,14.137166941154067,41.64078804863842,1415.3626461521728,1415.3626461521728,2358.937743586954,750.0000000000001,0.0294205786494674,539160.263538912,1,1078.3205270778242,pareto,closest,no design within +/-0.25 yr; nearest is 4.317 yr at 539.2 km
1.5,0.25,in_window,3.0,497.1318478726526,1.5097623835968577,0.00976238359685766,0.00976238359685766,15,thickness_grids_L3000mm.csv,72,68,98,1.484858585858586,1.7218093051729415,0.2369507193143557,20.779797760270466,12.28495967056849,20.779797760270466,60.37297980325088,1449.4489264538192,1449.4489264538192,2415.7482107563656,750.0,0.0416523678077831,497131.8478726526,1,662.8424638302034,pareto,closest,
1.5,0.25,in_window,4.0,397.84450737026935,1.4735077362031606,-0.026492263796839444,0.026492263796839444,12,thickness_grids_L4000mm.csv,64,46,98,1.484858585858586,1.594374961738598,0.1095163758800122,27.706397013693948,9.725169207365148,27.706397013693948,89.17812060753805,1583.1616310657566,1583.1616310657566,2638.6027184429277,750.0,0.0563291320719444,397844.50737026933,1,397.84450737026935,pareto,closest,
1.5,0.25,in_window,5.0,351.0227030314964,1.4726346425505883,-0.02736535744941171,0.02736535744941171,10,thickness_grids_L5000mm.csv,55,35,99,1.5,1.564243648607285,0.0642436486072849,35.34291735288517,7.940714222002546,35.34291735288517,115.3624751857303,1693.758464645547,1693.7584646455468,2822.930774409245,750.0,0.0681103460698407,351022.7030314964,1,280.8181624251971,pareto,closest,
1.5,0.25,in_window,6.0,331.0989183054696,1.4816103094972208,-0.018389690502779166,0.018389690502779166,9,thickness_grids_L6000mm.csv,53,29,98,1.484858585858586,1.5295907560453017,0.0447321701867156,41.55959552054093,6.9272212309842915,41.55959552054093,137.91276196169517,1764.5116306627565,1764.5116306627565,2940.8527177712604,749.9999999999997,0.0781591685569648,331098.9183054696,1,220.73261220364645,pareto,closest,
1.5,0.25,in_window,7.0,320.56095189592946,1.486102936896497,-0.013897063103502916,0.013897063103502916,9,thickness_grids_L7000mm.csv,50,25,97,1.4697171717171718,1.503474135292317,0.0337569635751454,47.50238874186823,6.192417338483746,47.50238874186823,158.6000617854102,1820.0177557095117,1820.0177557095117,3033.3629261825195,750.0000000000001,0.0871420409432115,320560.95189592947,1,183.17768679767397,pareto,closest,
1.5,0.25,in_window,8.0,313.16089299314285,1.516054774159046,0.016054774159045992,0.016054774159045992,8,thickness_grids_L8000mm.csv,49,22,96,1.4545757575757576,1.48116835016835,0.0265925925925925,53.17561851171512,5.608707617446247,53.17561851171512,178.78317269984933,1866.9238527667976,1866.9238527667976,3111.53975461133,750.0,0.0957635055307108,313160.8929931428,1,156.58044649657143,pareto,closest,
1.5,0.25,in_window,9.0,300.3149433142551,1.5324761370863254,0.03247613708632535,0.03247613708632535,7,thickness_grids_L9000mm.csv,46,19,98,1.484858585858586,1.50520140801959,0.0203428221610039,62.339393280811386,4.899496022962568,62.339393280811386,201.9601183457511,1927.6177214250647,1927.6177214250647,3212.696202375108,750.0000000000001,0.1047718726078345,300314.9433142551,1,133.47330813966894,pareto,closest,
1.5,0.25,in_window,10.0,296.3425171549955,1.4891438463097968,-0.010856153690203207,0.010856153690203207,8,thickness_grids_L10000mm.csv,46,17,99,1.5,1.5166844199571472,0.0166844199571472,70.68583470577035,4.444171675991479,70.68583470577035,221.40281083366003,1968.9232171206415,1968.9232171206415,3281.53869520107,750.0,0.1124486769765659,296342.5171549955,1,118.5370068619982,pareto,closest,
2.5,0.25,outside_window,2.0,539.1602635389121,4.3169677748551925,1.8169677748551925,1.8169677748551925,0,thickness_grids_L2000mm.csv,46,99,99,1.5,2.0,0.5,14.137166941154067,13.022827617827389,14.137166941154067,41.64078804863842,1415.3626461521728,1415.3626461521728,2358.937743586954,750.0000000000001,0.0294205786494674,539160.263538912,1,1078.3205270778242,pareto,closest,no design within +/-0.25 yr; nearest is 4.317 yr at 539.2 km
