row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
0,0,4.0,0.001,0.003,0.002,1.2566370614359172e-05,2.215863283240203,1.2566370614359172e-05,7.626697781187406e+23,881.664464426323,2202.8322482237936,2202.8322482237936,3671.3870803729897,3.370042653133311,0.4002413098579041,67.06107513134654,1,0.06706107513134654,0.06706107513134654
0,1,4.0,0.016141414141414012,0.018141414141414014,0.002,0.003274108179401033,3.4114076553877575,0.003274108179401033,1201794008163409.8,1357.4058874295715,2070.2270765746994,2070.2270765746994,3450.3784609578324,42.26131544259032,0.6556797091435359,941.579504869603,1,0.9415795048696031,0.9415795048696031
0,2,4.0,0.031282828282828135,0.033282828282828136,0.002,0.012297643118855112,3.8523991047928,0.012297643118855112,8971737348684.572,1533.0206361338658,2025.602970669392,2025.602970669392,3376.0049511156535,98.54797735136161,0.7568218739466279,2046.8398172381458,1,2.046839817238146,2.046839817238146
0,3,4.0,0.04642424242424226,0.04842424242424226,0.002,0.027083171188976594,4.114454006855438,0.027083171188976594,496166416318.0721,1637.5494754274498,2000.0679621405995,2000.0679621405995,3333.446603567666,163.4112056784252,0.8187469158172208,3252.8848065076795,1,3.2528848065076796,3.2528848065076796
0,4,4.0,0.0615656565656566,0.0635656565656566,0.002,0.04763069238976582,4.296532161110324,0.04763069238976582,63549579134.891624,1710.372184420259,1982.7368016875369,1982.7368016875369,3304.561336145895,233.8516303643253,0.8626319857302974,4521.475363421127,1,4.5214753634211275,4.5214753634211275
0,5,4.0,0.0767070707070705,0.0787070707070705,0.002,0.07394020672122176,4.43362544262361,0.07394020672122176,12939069879.84722,1765.4146112793983,1969.9029599509295,1969.9029599509295,3283.171599918216,308.3275149688167,0.8961936943956746,5834.196154994727,1,5.834196154994728,5.834196154994728
0,6,4.0,0.09184848484848462,0.09384848484848463,0.002,0.10601171418334544,4.542065760334389,0.10601171418334544,3534663444.591033,1809.1770514984928,1959.8795617944825,1959.8795617944825,3266.4659363241376,385.90446938270264,0.9231062391619589,7180.3417052008945,1,7.180341705200894,7.180341705200894
0,7,4.0,0.10698989898989897,0.10898989898989897,0.002,0.14384521477613713,4.630747248213746,0.14384521477613713,1182911416.1367617,1845.1997936378589,1951.7651650858256,1951.7651650858256,3252.9419418097095,465.95852236725017,0.9454005157207114,8552.982329823484,1,8.552982329823484,8.552982329823484
0,8,4.0,0.12213131313131287,0.12413131313131287,0.002,0.18744070849959502,4.7050235108768925,0.18744070849959502,459283679.9151319,1875.6139746365156,1945.0252650033076,1945.0252650033076,3241.708775005513,548.0448662860772,0.9643134248095878,9947.302585372223,1,9.947302585372222,9.947302585372222
0,9,4.0,0.1372727272727272,0.13927272727272721,0.002,0.23679819535372168,4.76835346174263,0.23679819535372168,199743599.60408792,1901.7965465715256,1939.3187807082986,1939.3187807082986,3232.1979678471644,631.8309861648216,0.980651848210809,11359.781683844685,1,11.359781683844686,11.359781683844686
0,10,4.0,0.15241414141414134,0.15441414141414134,0.002,0.29191767533851504,4.823093446252957,0.29191767533851504,94995693.4590491,1924.6855197908267,1934.4157841670983,1934.4157841670983,3224.026306945164,717.0591195881366,0.9949699209157037,12787.744503128144,1,12.787744503128144,12.787744503128144
0,11,4.0,0.16755555555555546,0.16955555555555546,0.002,0.3527991484539758,4.705892177241243,0.3527991484539758,55746158.59714938,1879.0529563890266,1944.946742997922,1944.946742997922,3241.5779049965367,750.0000000000001,0.9661205188028299,13642.469207834141,1,13.642469207834141,13.642469207834141
0,12,4.0,0.18269696969696958,0.18469696969696958,0.002,0.4194426147001041,4.50743149200618,0.4194426147001041,37203421.60972356,1800.9990927509339,1963.0687263155833,1963.0687263155833,3271.7812105259723,749.9999999999999,0.9174406726610982,14118.826025385308,1,14.118826025385308,14.118826025385308
