row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
0,0,9.0,0.001,0.003,0.002,2.8274333882308137e-05,2.8274333882308137e-05,2.21586395944139,5.1096867918362454e+22,2202.8321679431183,2202.8321679431183,881.6643502449488,3.3700432451053857,150.88740500359748,3671.386946571864,True,0.400241272610522,0.15088740500359749,0.06706106889048777
0,1,9.0,0.01607035175879412,0.018070351758794123,0.002,0.007302022185765076,0.007302022185765076,3.4086019046406775,83194057504951.8,2070.5178949518954,2070.5178949518954,1356.2493746411412,42.02675260377579,2107.677484392104,3450.8631582531593,True,0.6550290523679106,2.107677484392104,0.9367455486187128
0,2,9.0,0.03114070351758791,0.03314070351758791,0.002,0.027418849112004894,0.027418849112004894,3.8496726907061007,621367640291.6373,2025.8723934174434,2025.8723934174434,1531.775176800538,97.97948936197503,4580.7800860260995,3376.4539890290725,True,0.7561064466733697,4.5807800860261,2.0359022604560444
0,3,9.0,0.046211055276381696,0.0482110552763817,0.002,0.06037875511260178,0.06037875511260178,4.112204876116859,34352770861.700233,2000.284122747786,2000.2841227477861,1636.2843901755316,162.47867430301702,7279.673993311805,3333.8068712463105,True,0.8180259851924292,7.279673993311805,3.2354106636941355
0,4,9.0,0.061281407035175484,0.06328140703517549,0.002,0.10618174018755572,0.10618174018755572,4.295010782222675,4397286543.1487055,1982.88025216406,1982.88025216406,1709.094174231613,232.5509215278948,10118.80076011277,3304.8004202734337,True,0.8619250569298652,10.11880076011277,4.497244782272342
0,5,9.0,0.07635175879396972,0.07835175879396972,0.002,0.16482780433686867,0.16482780433686867,4.433057267070042,894594693.6270494,1969.9557736635004,1969.9557736635004,1764.1180225741753,306.67192279769887,13056.97211727397,3283.2596227725007,True,0.8955114861758894,13.05697211727397,5.803098718788431
0,6,9.0,0.09142211055276395,0.09342211055276395,0.002,0.23631694756053942,0.23631694756053942,4.5426724800978455,244143967.2952807,1959.8237954775122,1959.8237954775122,1807.8531383305792,383.92168871505635,16070.26824260127,3266.3729924625204,True,0.922456979297006,16.07026824260127,7.142341441156121
0,7,9.0,0.10649246231155773,0.10849246231155774,0.002,0.32064916985856534,0.32064916985856534,4.632751715617032,81611512.6129358,1951.5826058119935,1951.5826058119935,1843.8391756485566,463.6892783115259,19143.230729398947,3252.6376763533226,True,0.9447917654919823,19.143230729398947,8.508102546399533
0,8,9.0,0.12156281407035152,0.12356281407035152,0.002,0.41782447123094835,0.41782447123094835,4.7086507658499706,31645291.406403393,1944.6974298914433,1944.6974298914433,1874.2073930280717,545.5421691300959,22265.14118728607,3241.1623831524057,True,0.963752697062336,22.26514118728607,9.895618305460475
0,9,9.0,0.13663316582914575,0.13863316582914575,0.002,0.5278428516776917,0.5278428516776917,4.773830661019781,13742246.768285044,1938.8269684611532,1938.8269684611532,1900.3350958704848,629.1596483729408,25428.184844701158,3231.378280768589,True,0.980146824230932,25.428184844701157,11.301415486533848
