row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m
0,0,8.0,1.0,1.002,0.002,25.132741228718345,25.132741228718345,1.9080659529362627,1376.2633188049103,2240.0508201256,2240.0508201256,782.6066850633456,750.0000000000001,58596.05259538188,3733.4180335426663,True,0.34937005805049764,58.59605259538188,29.29802629769094
0,1,8.0,1.0134228187919463,1.0154228187919463,0.002,25.81197390910351,25.81197390910351,1.8945453340450042,1295.539116521209,2241.71733129902,2241.71733129902,777.6790708588617,750.0000000000002,58964.03186569513,3736.1955521650334,True,0.3469121909354271,58.96403186569513,29.482015932847563
0,2,8.0,1.0268456375838926,1.0288456375838926,0.002,26.500263025227138,26.500263025227138,1.8812723124759554,1220.583024109936,2243.355965444903,2243.355965444903,772.852028316805,749.9999999999998,59330.042269128506,3738.926609074839,True,0.3445070868026656,59.330042269128505,29.665021134564252
0,3,8.0,1.0402684563758389,1.0422684563758389,0.002,27.197608577089238,27.197608577089238,1.8682387751156926,1150.9134678977873,2244.9675863794687,2244.9675863794687,768.1222862083303,749.9999999999999,59694.12682033103,3741.6126439657814,True,0.34215295172573323,59.69412682033103,29.847063410165514
0,4,8.0,1.0536912751677852,1.0556912751677852,0.002,27.90401056468981,27.90401056468981,1.855436973388005,1086.0946573112171,2246.5530209907133,2246.5530209907133,763.4867187222837,750.0,60056.32703564612,3744.2550349845224,True,0.33984807462304706,60.05632703564612,30.02816351782306
0,5,8.0,1.0671140939597314,1.0691140939597314,0.002,28.619468988028846,28.619468988028846,1.8428595026199113,1025.731718280704,2248.1130612361085,2248.1130612361085,758.9423372509295,749.9999999999999,60416.683000075645,3746.855102060181,True,0.33759082242671135,60.41668300007564,30.20834150003782
0,6,8.0,1.0805369127516777,1.0825369127516777,0.002,29.34398384710635,29.34398384710635,1.83049928282889,969.466397061056,2249.6484660077385,2249.6484660077385,754.48628273483,750.0000000000001,60775.23343041954,3749.4141100128977,True,0.3353796355898009,60.77523343041954,30.38761671520977
0,7,8.0,1.0939597315436242,1.0959597315436242,0.002,30.077555141922335,30.077555141922335,1.8183495407983763,916.9732615853519,2251.159962877508,2251.159962877508,750.1158185246331,749.9999999999998,61132.01573494052,3751.9332714625134,True,0.333213023905156,61.132015734940516,30.566007867470258
0,8,8.0,1.1073825503355705,1.1093825503355705,0.002,30.820182872476778,30.820182872476778,1.8064037933571755,867.9563374596944,2252.648249729396,2252.648249729396,745.8283237204505,750.0000000000001,61487.06606993697,3754.4137495489936,True,0.3310895626114928,61.48706606993697,30.743533034968486
0,9,8.0,1.1208053691275168,1.1228053691275168,0.002,31.571867038769696,31.571867038769696,1.7946558317474897,822.146124379465,2254.1139962899374,2254.1139962899374,741.6212869481377,750.0,61840.41939312901,3756.856660483229,True,0.3290078887619604,61.840419393129004,30.920209696564502
